scientific_name,synonyms,common_name,family,genus,growth_habit,duration,native_status,category,height_mature_ft,leaf_retention,flower_color,bloom_period,drought_tolerance,shade_tolerance,lifespan,usda_symbol
Pandanus utilis,,common screwpine,Pandanaceae,Pandanus,Tree,Perennial,PR(I),Monocot,,,,,,,,PAUT
Pandanus veitchii,,Veitch's screwpine,Pandanaceae,Pandanus,Tree,Perennial,PR(I),Monocot,,,,,,,,PAVE6
Paraderris montana,Paraderris malaccensis; Derris malaccensis,tubaroot,Fabaceae,Paraderris,"Vine, Shrub",Perennial,L48(N),,,,,,,,,PAMO21
Paraserianthes lophantha,Albizia distachya; Albizia lophantha,plume albizia,Fabaceae,Paraserianthes,"Shrub, Tree",Perennial,L48(I),Dicot,,,,,,,,PALO8
Parathesis crenulata,Parathesis serrulata; Ardisia crenulata,scratchthroat,Myrsinaceae,Parathesis,"Shrub, Tree",Perennial,PR(N),Dicot,,,,,,,,PACR2
Parkia parvifoliola,,kmekumer,Fabaceae,Parkia,Tree,Perennial,L48(N),,,,,,,,,PAPA2
Parkinsonia aculeata,,Jerusalem thorn,Fabaceae,Parkinsonia,"Tree, Shrub",Perennial,L48(N)HI(I)PR(N)VI(I),Dicot,,,,,,,,PAAC3
Parkinsonia florida,Cercidium floridum; Cercidium floridum ssp. floridum,blue paloverde,Fabaceae,Parkinsonia,"Tree, Shrub",Perennial,L48(N),Dicot,,,,,,,,PAFL6
Parkinsonia microphylla,Cercidium microphyllum,yellow paloverde,Fabaceae,Parkinsonia,"Tree, Shrub",Perennial,L48(N),Dicot,,,,,,,,PAMI5
Parkinsonia texana,,Texas paloverde,Fabaceae,Parkinsonia,"Tree, Shrub",Perennial,L48(N),Dicot,,,,,,,,PATE10
Parkinsonia texana var. macra,Cercidium macrum,Texas paloverde,Fabaceae,Parkinsonia,"Tree, Shrub",Perennial,L48(N),Dicot,,,,,,,,PATEM
Parkinsonia texana var. texana,Cercidium texanum,Texas paloverde,Fabaceae,Parkinsonia,"Tree, Shrub",Perennial,L48(N),Dicot,,,,,,,,PATET2
Parmentiera edulis,Parmentiera aculeata,cuachilote,Bignoniaceae,Parmentiera,Tree,Perennial,PR(I),Dicot,,,,,,,,PAAC13
Parmentiera cereifera,,candle tree,Bignoniaceae,Parmentiera,Tree,Perennial,PR(I),Dicot,,,,,,,,PACE8
Paronychia diffusa,Paronychia depressa; Paronychia depressa var. diffusa; Paronychia depressa var. brevicuspis,spreading nailwort,Caryophyllaceae,Paronychia,"Subshrub, Forb/herb",Perennial,L48(N),Dicot,,,,,,,,PADE4
Paronychia wardii,Paronychia jamesii; Paronychia jamesii var. hirsuta; Paronychia jamesii var. parviflora; Paronychia jamesii var. praelongifolia,James' nailwort,Caryophyllaceae,Paronychia,"Subshrub, Forb/herb",Perennial,L48(N),Dicot,,,,,,,,PAJA
Paronychia sessiliflora,,creeping nailwort,Caryophyllaceae,Paronychia,"Subshrub, Forb/herb",Perennial,L48(N)CAN(N),Dicot,,,,,,,,PASE
Paronychia parksii,Paronychia scoparia; Paronychia virginica; Paronychia virginica var. parksii; Paronychia virginica var. scoparia,yellow nailwort,Caryophyllaceae,Paronychia,"Subshrub, Forb/herb",Perennial,L48(N),Dicot,,,,,,,,PAVI4
Paronychia wilkinsonii,,Wilkinson's nailwort,Caryophyllaceae,Paronychia,"Subshrub, Forb/herb",Perennial,L48(N),Dicot,,,,,,,,PAWI3
Parryella filifolia,,common dunebroom,Fabaceae,Parryella,Shrub,Perennial,L48(N),Dicot,,,,,,,,PAFI4
Parthenium argentatum,,guayule,Asteraceae,Parthenium,Shrub,Perennial,L48(N),Dicot,,,,,,,,PAAR5
Parthenium lyratum,Parthenium confertum; Parthenium confertum var. lyratum; Parthenium confertum var. confertum; Parthenium confertum var. divaricatum; Parthenium confertum var. intermedium; Parthenium hysterophorus var. lyratum; Parthenium confertum var. microcephalum,Gray's feverfew,Asteraceae,Parthenium,"Subshrub, Forb/herb","Biennial, Perennial, AN",L48(N),Dicot,,,,,,,,PACO11
Parthenium incanum,,mariola,Asteraceae,Parthenium,Shrub,Perennial,L48(N),Dicot,,,,,,,,PAIN2
Paulownia tomentosa,Paulownia imperialis,princesstree,Scrophulariaceae,Paulownia,Tree,Perennial,L48(I),Dicot,70,No,Purple,Mid Spring,Medium,Intolerant,Moderate,PATO2
Pavonia corymbosa,,tight-flower swampmallow,Malvaceae,Pavonia,"Forb/herb, Shrub",Perennial,PR(I),Dicot,,,,,,,,PACO25
Pavonia fruticosa,Typhalea fruticosa,anamu,Malvaceae,Pavonia,"Subshrub, Shrub",Perennial,PR(N),Dicot,,,,,,,,PAFR2
Pavonia hastata,,spearleaf swampmallow,Malvaceae,Pavonia,Subshrub,Perennial,L48(I),Dicot,,,,,,,,PAHA5
Pavonia wrightii,Pavonia lasiopetala,Texas swampmallow,Malvaceae,Pavonia,"Subshrub, Shrub",Perennial,L48(N),Dicot,,,,,,,,PALA13
Pavonia scabra,Pavonia spicata; Pavonia racemosa; Pavonia paludicola; Malache scabra,swampbush,Malvaceae,Pavonia,"Shrub, Subshrub",Perennial,L48(N)PR(N)VI(N),Dicot,,,,,,,,PAPA28
Pavonia paniculata,Lebretonia paniculata,cadillo anaranjado,Malvaceae,Pavonia,"Subshrub, Shrub",Perennial,PR(N),Dicot,,,,,,,,PAPA17
Pavonia spinifex,,gingerbush,Malvaceae,Pavonia,"Shrub, Subshrub",Perennial,L48(N)PR(N)VI(N),Dicot,,,,,,,,PASP6
Paxistima canbyi,,Canby's mountain-lover,Celastraceae,Paxistima,"Subshrub, Shrub",Perennial,L48(N),Dicot,,,,,,,,PACA
Paxistima myrsinites,Pachystima myrsinites,Oregon boxleaf,Celastraceae,Paxistima,Shrub,Perennial,L48(N)CAN(N),Dicot,,,,,,,,PAMY
Pectis elongata,,tropical chinchweed,Asteraceae,Pectis,"Subshrub, Shrub, Forb/herb","Annual, Perennial",PR(N),Dicot,,,,,,,,PEEL6
Pectis floribunda,Pectis elongata var. floribunda,tropical chinchweed,Asteraceae,Pectis,"Subshrub, Forb/herb, Shrub","Perennial, AN",PR(N),Dicot,,,,,,,,PEELF
Pectis longipes,,longstalk chinchweed,Asteraceae,Pectis,"Forb/herb, Subshrub",Perennial,L48(N),Dicot,,,,,,,,PELO
Pedicularis angustifolia,Pedicularis angustissima,Mogollon Mountain lousewort,Scrophulariaceae,Pedicularis,"Subshrub, Forb/herb",Perennial,L48(N),Dicot,,,,,,,,PEAN9
Pedicularis canadensis,,Canadian lousewort,Scrophulariaceae,Pedicularis,"Subshrub, Forb/herb",Perennial,L48(N)CAN(N),Dicot,1.3,No,Yellow,Late Spring,Low,Tolerant,Moderate,PECA
Pedicularis gladiata,Pedicularis canadensis var. dobbsii; Pedicularis canadensis ssp. canadensis,Canadian lousewort,Scrophulariaceae,Pedicularis,"Subshrub, Forb/herb",Perennial,L48(N)CAN(N),Dicot,,,,,,,,PECAC3
Pedicularis fluviatilis,Pedicularis canadensis ssp. fluviatilis,Canadian lousewort,Scrophulariaceae,Pedicularis,"Subshrub, Forb/herb",Perennial,L48(N),Dicot,,,,,,,,PECAF
Pedicularis racemosa,,sickletop lousewort,Scrophulariaceae,Pedicularis,"Forb/herb, Subshrub",Perennial,L48(N)CAN(N),Dicot,,,,,,,,PERA
Pedicularis racemosa ssp. alba,Pedicularis racemosa var. alba,sickletop lousewort,Scrophulariaceae,Pedicularis,"Subshrub, Forb/herb",Perennial,L48(N)CAN(N),Dicot,,,,,,,,PERAA
Pedicularis racemosa ssp. racemosa,,sickletop lousewort,Scrophulariaceae,Pedicularis,"Subshrub, Forb/herb",Perennial,L48(N)CAN(N),Dicot,,,,,,,,PERAR
Pedilanthus tithymaloides,,redbird flower,Euphorbiaceae,Pedilanthus,Shrub,Perennial,L48(N)PR(N)VI(N),Dicot,,,,,,,,PETI
Pedilanthus angustifolius,Pedilanthus tithymaloides ssp. angustifolius; Pedilanthus tithymaloides var. angustifolius,redbird flower,Euphorbiaceae,Pedilanthus,Shrub,Perennial,PR(N)VI(N),Dicot,,,,,,,,PETIA
Pedilanthus padifolius,Pedilanthus tithymaloides ssp. padifolius,redbird flower,Euphorbiaceae,Pedilanthus,Shrub,Perennial,PR(N)VI(N),Dicot,,,,,,,,PETIP
Pedilanthus latifolius,Pedilanthus tithymaloides ssp. parasiticus,redbird flower,Euphorbiaceae,Pedilanthus,Shrub,Perennial,PR(N)VI(N),Dicot,,,,,,,,PETIP2
Pedilanthus smallii,Pedilanthus tithymaloides ssp. smallii; Tithymalus smallii,Small's redbird flower,Euphorbiaceae,Pedilanthus,Shrub,Perennial,L48(N),Dicot,,,,,,,,PETIS
Pedilanthus tithymaloides ssp. tithymaloides,,redbird flower,Euphorbiaceae,Pedilanthus,Shrub,Perennial,PR(N)VI(N),Dicot,,,,,,,,PETIT2
Pediocactus bradyi,,Brady's pincushion cactus,Cactaceae,Pediocactus,Shrub,Perennial,L48(N),Dicot,,,,,,,,PEBR2
Pediocactus despainii,,Despain's pincushion cactus,Cactaceae,Pediocactus,Shrub,Perennial,L48(N),Dicot,,,,,,,,PEDE17
Pediocactus knowltonii,,Knowlton's miniature cactus,Cactaceae,Pediocactus,Shrub,Perennial,L48(N),Dicot,,,,,,,,PEKN2
Pediocactus nigrispinus,Pediocactus nigrispinus var. beastonii; Pediocactus nigrispinus ssp. beastonii; Pediocactus simpsonii var. nigrispinus; Pediocactus nigrispinus ssp. puebloensis,snowball cactus,Cactaceae,Pediocactus,Shrub,Perennial,L48(N),Dicot,,,,,,,,PENI5
Pediocactus paradinei,,Kaibab pincushion cactus,Cactaceae,Pediocactus,Shrub,Perennial,L48(N),Dicot,,,,,,,,PEPA5
Pediocactus peeblesianus,Pediocactus peeblesianus var. maianus; Pediocactus peeblesianus var. fickeiseniae; Pediocactus peeblesianus var. peeblesianus,Navajo pincushion cactus,Cactaceae,Pediocactus,Shrub,Perennial,L48(N),Dicot,,,,,,,,PEPE8
Pediocactus sileri,,Siler pincushion cactus,Cactaceae,Pediocactus,Subshrub,Perennial,L48(N),Dicot,,,,,,,,PESI4
Pediocactus simpsonii,,mountain ball cactus,Cactaceae,Pediocactus,Shrub,Perennial,L48(N),Dicot,,,,,,,,PESI
Pediocactus simpsonii var. minor,,mountain ball cactus,Cactaceae,Pediocactus,Shrub,Perennial,L48(N),Dicot,,,,,,,,PESIM
Pediocactus simpsonii var. robustior,Echinocactus simpsonii var. robustior,mountain ball cactus,Cactaceae,Pediocactus,Shrub,Perennial,L48(N),Dicot,,,,,,,,PESIR
Pediocactus simpsonii var. simpsonii,Echinocactus simpsonii,mountain ball cactus,Cactaceae,Pediocactus,Shrub,Perennial,L48(N),Dicot,,,,,,,,PESIS
Pediocactus winkleri,,Winkler's pincushion cactus,Cactaceae,Pediocactus,Shrub,Perennial,L48(N),Dicot,,,,,,,,PEWI2
Pelargonium ×domesticum,,regal pelargonium,Geraniaceae,Pelargonium,"Shrub, Subshrub",Perennial,L48(I),Dicot,,,,,,,,PEDO2
Pelargonium ×hortorum,,zonal geranium,Geraniaceae,Pelargonium,"Subshrub, Shrub, Forb/herb",Perennial,L48(I),Dicot,,,,,,,,PEHO2
Pelargonium capitatum,,rose scented geranium,Geraniaceae,Pelargonium,"Subshrub, Forb/herb",Perennial,L48(I),Dicot,,,,,,,,PECA13
Pelargonium graveolens,,sweet scented geranium,Geraniaceae,Pelargonium,"Subshrub, Shrub, Forb/herb",Perennial,PR(I),Dicot,,,,,,,,PEGR11
Pelargonium grossularioides,,gooseberry geranium,Geraniaceae,Pelargonium,"Forb/herb, Subshrub",Perennial,L48(I),Dicot,,,,,,,,PEGR12
Pelargonium inodorum,,scentless geranium,Geraniaceae,Pelargonium,"Subshrub, Forb/herb",Annual,L48(I),Dicot,,,,,,,,PEIN6
Pelargonium inquinans,,scarlet geranium,Geraniaceae,Pelargonium,"Forb/herb, Subshrub",Perennial,L48(I),Dicot,,,,,,,,PEIN7
Pelargonium odoratissimum,,apple geranium,Geraniaceae,Pelargonium,"Subshrub, Shrub",Perennial,PR(I),Dicot,,,,,,,,PEOD
Pelargonium panduriforme,,oakleaf garden geranium,Geraniaceae,Pelargonium,"Subshrub, Shrub",Perennial,L48(I),Dicot,,,,,,,,PEPA52
Pelargonium peltatum,,ivyleaf geranium,Geraniaceae,Pelargonium,"Forb/herb, Subshrub, Vine",Perennial,L48(I)PR(I),Dicot,,,,,,,,PEPE6
Pelargonium quercifolium,,oakleaf geranium,Geraniaceae,Pelargonium,"Subshrub, Shrub",Perennial,L48(I),Dicot,,,,,,,,PEQU5
Pelargonium vitifolium,,grapeleaf geranium,Geraniaceae,Pelargonium,"Subshrub, Shrub, Forb/herb",Perennial,L48(I),Dicot,,,,,,,,PEVI8
Pelargonium zonale,,horseshoe geranium,Geraniaceae,Pelargonium,"Subshrub, Forb/herb",Perennial,L48(I)PR(I),Dicot,,,,,,,,PEZO
Peltophorum dubia,,horsebush,Fabaceae,Peltophorum,Tree,Perennial,L48(I),Dicot,,,,,,,,PEDU3
Peltophorum inerme,Peltophorum inermis; Peltophorum pterocarpa; Peltophorum pterocarpum,peltophorum,Fabaceae,Peltophorum,Tree,Perennial,L48(I)PR(I)VI(I),Dicot,,,,,,,,PEPT3
Peniocereus greggii,,nightblooming cereus,Cactaceae,Peniocereus,Shrub,Perennial,L48(N),Dicot,,,,,,,,PEGR3
Peniocereus greggii var. greggii,Cereus greggii,nightblooming cereus,Cactaceae,Peniocereus,Shrub,Perennial,L48(N),Dicot,,,,,,,,PEGRG
Peniocereus greggii var. transmontanus,Cereus greggii var. transmontanus,nightblooming cereus,Cactaceae,Peniocereus,Shrub,Perennial,L48(N),Dicot,,,,,,,,PEGRT
Peniocereus striatus,Cereus diguetii; Cereus striatus; Wilcoxia striata; Wilcoxia diguetii; Neoevansia striata,gearstem cactus,Cactaceae,Peniocereus,Shrub,Perennial,L48(N),Dicot,,,,,,,,PEST11
Penstemon ×parishii,,beardtongue,Scrophulariaceae,Penstemon,"Subshrub, Shrub",Perennial,L48(N),Dicot,,,,,,,,PEPA10
Penstemon abietinus,,firleaf beardtongue,Scrophulariaceae,Penstemon,"Subshrub, Forb/herb",Perennial,L48(N),Dicot,,,,,,,,PEAB
Penstemon acaulis,,stemless beardtongue,Scrophulariaceae,Penstemon,"Forb/herb, Subshrub",Perennial,L48(N),Dicot,,,,,,,,PEAC3
Penstemon albertinus,,Alberta beardtongue,Scrophulariaceae,Penstemon,"Subshrub, Forb/herb",Perennial,L48(N)CAN(N),Dicot,2.0,No,Blue,Summer,Low,Intermediate,Short,PEAL11
Penstemon ambiguus,,gilia beardtongue,Scrophulariaceae,Penstemon,"Subshrub, Forb/herb",Perennial,L48(N),Dicot,,,,,,,,PEAM
Penstemon ambiguus var. ambiguus,Leiostemon ambiguus,gilia beardtongue,Scrophulariaceae,Penstemon,"Subshrub, Forb/herb",Perennial,L48(N),Dicot,,,,,,,,PEAMA
Penstemon ambiguus var. laevissimus,Penstemon ambiguus ssp. laevissimus,pink plains beardtongue,Scrophulariaceae,Penstemon,"Forb/herb, Subshrub",Perennial,L48(N),Dicot,,,,,,,,PEAML2
Penstemon angustifolius,,broadbeard beardtongue,Scrophulariaceae,Penstemon,"Subshrub, Forb/herb",Perennial,L48(N),Dicot,3.0,No,White,Spring,High,Intolerant,Short,PEAN4
Penstemon angustifolius var. angustifolius,,broadbeard beardtongue,Scrophulariaceae,Penstemon,"Subshrub, Forb/herb",Perennial,L48(N),Dicot,,,,,,,,PEANA2
Penstemon caudatus,Penstemon angustifolius var. caudatus; Penstemon angustifolius ssp. caudatus,broadbeard beardtongue,Scrophulariaceae,Penstemon,"Forb/herb, Subshrub",Perennial,L48(N),Dicot,,,,,,,,PEANC
Penstemon angustifolius var. dulcis,,broadbeard beardtongue,Scrophulariaceae,Penstemon,"Subshrub, Forb/herb",Perennial,L48(N),Dicot,,,,,,,,PEAND
Penstemon venosus,Penstemon angustifolius var. venosus; Penstemon angustifolius ssp. venosus,broadbeard beardtongue,Scrophulariaceae,Penstemon,"Subshrub, Forb/herb",Perennial,L48(N),Dicot,,,,,,,,PEANV
Penstemon angustifolius var. vernalensis,,broadbeard beardtongue,Scrophulariaceae,Penstemon,"Forb/herb, Subshrub",Perennial,L48(N),Dicot,,,,,,,,PEANV2
Penstemon maguirei,Penstemon arenarius,Nevada sanddune beardtongue,Scrophulariaceae,Penstemon,"Subshrub, Forb/herb",Perennial,L48(N),Dicot,,,,,,,,PEAR3
Penstemon attenuatus,,sulphur penstemon,Scrophulariaceae,Penstemon,"Subshrub, Forb/herb",Perennial,L48(N),Dicot,,,,,,,,PEAT3
Penstemon attenuatus var. attenuatus,,sulphur penstemon,Scrophulariaceae,Penstemon,"Subshrub, Forb/herb",Perennial,L48(N),Dicot,,,,,,,,PEATA2
Penstemon assurgens,Penstemon attenuatus var. militaris; Penstemon attenuatus ssp. militaris,South Idaho penstemon,Scrophulariaceae,Penstemon,"Forb/herb, Subshrub",Perennial,L48(N),Dicot,,,,,,,,PEATM2
Penstemon attenuatus var. palustris,Penstemon attenuatus ssp. palustris,sulphur beardtongue,Scrophulariaceae,Penstemon,"Subshrub, Forb/herb",Perennial,L48(N),Dicot,,,,,,,,PEATP4
Penstemon attenuatus var. pseudoprocerus,Penstemon attenuatus ssp. pseudoprocerus,small penstemon,Scrophulariaceae,Penstemon,"Forb/herb, Subshrub",Perennial,L48(N),Dicot,,,,,,,,PEATP5
Penstemon auriberbis,,Colorado beardtongue,Scrophulariaceae,Penstemon,"Subshrub, Forb/herb",Perennial,L48(N),Dicot,,,,,,,,PEAU2
Penstemon azureus,,azure penstemon,Scrophulariaceae,Penstemon,"Subshrub, Forb/herb",Perennial,L48(N),Dicot,,,,,,,,PEAZ
Penstemon azureus ssp. angustissimus,Penstemon azureus var. angustissimus,azure penstemon,Scrophulariaceae,Penstemon,"Forb/herb, Subshrub",Perennial,L48(N),Dicot,,,,,,,,PEAZA
Penstemon parvulus,Penstemon azureus ssp. azureus; Penstemon azureus var. azureus; Penstemon azureus var. parvulus,azure penstemon,Scrophulariaceae,Penstemon,"Subshrub, Forb/herb",Perennial,L48(N),Dicot,,,,,,,,PEAZA2
Penstemon baccharifolius,,baccharisleaf beardtongue,Scrophulariaceae,Penstemon,Subshrub,Perennial,L48(N),Dicot,,,,,,,,PEBA
Penstemon barrettiae,,Barrett's beardtongue,Scrophulariaceae,Penstemon,"Subshrub, Forb/herb",Perennial,L48(N),Dicot,,,,,,,,PEBA7
Penstemon buckleyi,,Buckley's beardtongue,Scrophulariaceae,Penstemon,"Subshrub, Forb/herb",Perennial,L48(N),Dicot,,,,,,,,PEBU
Penstemon caesius,,San Bernardino beardtongue,Scrophulariaceae,Penstemon,"Subshrub, Forb/herb",Perennial,L48(N),Dicot,,,,,,,,PECA3
Penstemon caespitosus,,mat penstemon,Scrophulariaceae,Penstemon,"Subshrub, Forb/herb",Perennial,L48(N),Dicot,,,,,,,,PECA4
Penstemon caespitosus var. caespitosus,,mat penstemon,Scrophulariaceae,Penstemon,"Forb/herb, Subshrub",Perennial,L48(N),Dicot,,,,,,,,PECAC4
Penstemon caespitosus var. desertipicti,Penstemon caespitosus ssp. desertipicti,mat penstemon,Scrophulariaceae,Penstemon,"Subshrub, Forb/herb",Perennial,L48(N),Dicot,,,,,,,,PECAD2
Penstemon caespitosus var. perbrevis,Penstemon caespitosus ssp. perbrevis,mat penstemon,Scrophulariaceae,Penstemon,"Forb/herb, Subshrub",Perennial,L48(N),Dicot,,,,,,,,PECAP2
Penstemon californicus,,California penstemon,Scrophulariaceae,Penstemon,"Subshrub, Forb/herb",Perennial,L48(N),Dicot,,,,,,,,PECA6
Penstemon campanulatus,Penstemon campanulatus f. pulchellus,bellflower beardtongue,Scrophulariaceae,Penstemon,"Subshrub, Shrub, Forb/herb",Perennial,,Dicot,,,,,,,,PECA80
Penstemon cardwellii,,Cardwell's beardtongue,Scrophulariaceae,Penstemon,"Subshrub, Shrub, Forb/herb",Perennial,L48(N),Dicot,,,,,,,,PECA16
Penstemon centranthifolius,,scarlet bugler,Scrophulariaceae,Penstemon,"Subshrub, Forb/herb",Perennial,L48(N),Dicot,,,,,,,,PECE2
Penstemon cinicola,,ash penstemon,Scrophulariaceae,Penstemon,"Subshrub, Forb/herb",Perennial,L48(N),Dicot,,,,,,,,PECI2
Penstemon clevelandii,,Cleveland's beardtongue,Scrophulariaceae,Penstemon,"Subshrub, Forb/herb",Perennial,L48(N),Dicot,,,,,,,,PECL
Penstemon clevelandii ssp. clevelandii,Penstemon clevelandii var. clevelandii,Cleveland's beardtongue,Scrophulariaceae,Penstemon,"Forb/herb, Subshrub",Perennial,L48(N),Dicot,,,,,,,,PECLC5
Penstemon clevelandii ssp. connatus,Penstemon clevelandii var. connatus,San Jacinto beardtongue,Scrophulariaceae,Penstemon,"Subshrub, Forb/herb",Perennial,L48(N),Dicot,,,,,,,,PECLC4
Penstemon clevelandii ssp. mohavensis,Penstemon clevelandii var. mohavensis,Cleveland's beardtongue,Scrophulariaceae,Penstemon,"Subshrub, Forb/herb",Perennial,L48(N),Dicot,,,,,,,,PECLM2
Penstemon compactus,Penstemon cyananthus ssp. compactus; Penstemon cyananthus var. compactus,compact penstemon,Scrophulariaceae,Penstemon,"Subshrub, Forb/herb",Perennial,L48(N),Dicot,,,,,,,,PECO10
Penstemon concinnus,,Tunnel Springs beardtongue,Scrophulariaceae,Penstemon,"Subshrub, Forb/herb",Perennial,L48(N),Dicot,,,,,,,,PECO15
Penstemon confertus,,yellow penstemon,Scrophulariaceae,Penstemon,"Subshrub, Forb/herb",Perennial,L48(N)CAN(N),Dicot,2.0,No,Yellow,Mid Summer,Low,Tolerant,Moderate,PECO6
Penstemon crandallii,,Crandall's beardtongue,Scrophulariaceae,Penstemon,"Subshrub, Forb/herb",Perennial,L48(N),Dicot,,,,,,,,PECR5
Penstemon crandallii ssp. atratus,Penstemon crandallii var. atratus,Crandall's beardtongue,Scrophulariaceae,Penstemon,"Subshrub, Forb/herb",Perennial,L48(N),Dicot,,,,,,,,PECRA
Penstemon suffrutescens,Penstemon crandallii ssp. crandallii,Crandall's beardtongue,Scrophulariaceae,Penstemon,"Forb/herb, Subshrub",Perennial,L48(N),Dicot,,,,,,,,PECRC
Penstemon crandallii ssp. glabrescens,,Crandall's beardtongue,Scrophulariaceae,Penstemon,"Subshrub, Forb/herb",Perennial,L48(N),Dicot,,,,,,,,PECRG
Penstemon crandallii ssp. procumbens,,Crandall's beardtongue,Scrophulariaceae,Penstemon,"Forb/herb, Subshrub",Perennial,L48(N),Dicot,,,,,,,,PECRP
Penstemon crandallii ssp. taosensis,Penstemon crandallii var. taosensis; Penstemon linarioides ssp. taosensis,Taos penstemon,Scrophulariaceae,Penstemon,"Subshrub, Forb/herb",Perennial,L48(N),Dicot,,,,,,,,PECRT2
Penstemon cusickii,,Cusick's beardtongue,Scrophulariaceae,Penstemon,"Forb/herb, Subshrub",Perennial,L48(N),Dicot,,,,,,,,PECU
Penstemon cyaneus,,blue penstemon,Scrophulariaceae,Penstemon,"Subshrub, Forb/herb",Perennial,L48(N),Dicot,,,,,,,,PECY3
Penstemon davidsonii,,Davidson's penstemon,Scrophulariaceae,Penstemon,"Subshrub, Forb/herb",Perennial,L48(N)CAN(N),Dicot,,,,,,,,PEDA2
Penstemon menziesii ssp. davidsonii,Penstemon menziesii ssp. thompsonii; Penstemon davidsonii var. davidsonii,Davidson's penstemon,Scrophulariaceae,Penstemon,"Subshrub, Forb/herb",Perennial,L48(N)CAN(N),Dicot,,,,,,,,PEDAD
Penstemon menziesii,Penstemon davidsonii var. menziesii; Penstemon davidsonii ssp. menziesii,Menzies' penstemon,Scrophulariaceae,Penstemon,"Forb/herb, Subshrub",Perennial,L48(N)CAN(N),Dicot,,,,,,,,PEDAM2
Penstemon davidsonii var. praeteritus,,timberline beardtongue,Scrophulariaceae,Penstemon,"Subshrub, Forb/herb",Perennial,L48(N),Dicot,,,,,,,,PEDAP
Penstemon deustus,,scabland penstemon,Scrophulariaceae,Penstemon,"Subshrub, Forb/herb",Perennial,L48(N),Dicot,2.0,No,Yellow,Late Spring,High,Intolerant,Long,PEDE4
Penstemon deustus var. deustus,,scabland penstemon,Scrophulariaceae,Penstemon,"Subshrub, Forb/herb",Perennial,L48(N),Dicot,,,,,,,,PEDED2
Penstemon deustus ssp. heterander,Penstemon deustus var. heterander; Penstemon deustus var. pedicellatus,scabland penstemon,Scrophulariaceae,Penstemon,"Forb/herb, Subshrub",Perennial,L48(N),Dicot,,,,,,,,PEDEP
Penstemon deustus var. suffrutescens,,scabland penstemon,Scrophulariaceae,Penstemon,"Forb/herb, Subshrub",Perennial,L48(N),Dicot,,,,,,,,PEDES2
Penstemon variabilis,Penstemon deustus var. variabilis; Penstemon deustus ssp. variabilis,scabland penstemon,Scrophulariaceae,Penstemon,"Forb/herb, Subshrub",Perennial,L48(N),Dicot,,,,,,,,PEDEV2
Penstemon diphyllus,Penstemon triphyllus ssp. diphyllus,twoleaf beardtongue,Scrophulariaceae,Penstemon,"Forb/herb, Subshrub",Perennial,L48(N),Dicot,,,,,,,,PEDI5
Penstemon discolor,,Cataiina beardtongue,Scrophulariaceae,Penstemon,Subshrub,Perennial,L48(N),Dicot,,,,,,,,PEDI6
Penstemon distans,,Mt. Tumbull beardtongue,Scrophulariaceae,Penstemon,"Subshrub, Forb/herb",Perennial,L48(N),Dicot,,,,,,,,PEDI10
Penstemon dolius,,Jones' beardtongue,Scrophulariaceae,Penstemon,"Subshrub, Forb/herb",Perennial,L48(N),Dicot,,,,,,,,PEDO3
Penstemon dolius var. dolius,,Jones' beardtongue,Scrophulariaceae,Penstemon,"Subshrub, Forb/herb",Perennial,L48(N),Dicot,,,,,,,,PEDOD2
Penstemon duchesnensis,Penstemon dolius var. duchesnensis,Duchesne penstemon,Scrophulariaceae,Penstemon,"Forb/herb, Subshrub",Perennial,L48(N),Dicot,,,,,,,,PEDOD
Penstemon elegantulus,,rockvine penstemon,Scrophulariaceae,Penstemon,"Subshrub, Forb/herb",Perennial,L48(N),Dicot,,,,,,,,PEEL4
Penstemon ellipticus,Penstemon davidsonii var. ellipticus,rocky ledge penstemon,Scrophulariaceae,Penstemon,"Forb/herb, Subshrub",Perennial,L48(N)CAN(N),Dicot,,,,,,,,PEEL5
Penstemon eriantherus,,fuzzytongue penstemon,Scrophulariaceae,Penstemon,"Subshrub, Forb/herb",Perennial,L48(N)CAN(N),Dicot,,,,,,,,PEER
Penstemon whitedii ssp. dayanus,Penstemon eriantherus var. argillosus,fuzzytongue penstemon,Scrophulariaceae,Penstemon,"Subshrub, Forb/herb",Perennial,L48(N),Dicot,,,,,,,,PEERA
Penstemon cleburnei,Penstemon eriantherus var. cleburnei,Cleburn's penstemon,Scrophulariaceae,Penstemon,"Forb/herb, Subshrub",Perennial,L48(N),Dicot,,,,,,,,PEERC
Penstemon eriantherus var. eriantherus,,fuzzytongue penstemon,Scrophulariaceae,Penstemon,"Subshrub, Forb/herb",Perennial,L48(N)CAN(N),Dicot,,,,,,,,PEERE
Penstemon whitedii ssp. tristis,Penstemon eriantherus var. redactus,longsac penstemon,Scrophulariaceae,Penstemon,"Forb/herb, Subshrub",Perennial,L48(N),Dicot,,,,,,,,PEERR
Penstemon whitedii,Penstemon eriantherus var. whitedii,Whited's penstemon,Scrophulariaceae,Penstemon,"Subshrub, Forb/herb",Perennial,L48(N),Dicot,,,,,,,,PEERW
Penstemon filiformis,,threadleaf beardtongue,Scrophulariaceae,Penstemon,"Subshrub, Forb/herb",Perennial,L48(N),Dicot,,,,,,,,PEFI2
