scientific_name,synonyms,common_name,family,genus,growth_habit,duration,native_status,category,height_mature_ft,leaf_retention,flower_color,bloom_period,drought_tolerance,shade_tolerance,lifespan,usda_symbol
Clematis hirsutissima,,hairy clematis,Ranunculaceae,Clematis,"Subshrub, Forb/herb",Perennial,L48(N),Dicot,,,,,,,,CLHI
Clematis hirsutissima var. arizonica,,Arizona clematis,Ranunculaceae,Clematis,"Subshrub, Forb/herb",Perennial,L48(N),Dicot,,,,,,,,CLHIA
Clematis hirsutissima var. hirsutissima,Coriflora hirsutissima,hairy clematis,Ranunculaceae,Clematis,"Forb/herb, Subshrub",Perennial,L48(N),Dicot,,,,,,,,CLHIH
Clematis scottii,Clematis hirsutissima var. scottii; Viorna scottii; Coriflora scottii,Scott's clematis,Ranunculaceae,Clematis,"Subshrub, Forb/herb",Perennial,L48(N),Dicot,,,,,,,,CLHIS
Clematis morefieldii,Coriflora morefieldii,Huntsville vasevine,Ranunculaceae,Clematis,"Forb/herb, Subshrub",Perennial,L48(N),Dicot,,,,,,,,CLMO6
Clematis ochroleuca,Viorna ovata; Viorna ochroleuca; Coriflora ochroleuca,curlyheads,Ranunculaceae,Clematis,"Subshrub, Forb/herb",Perennial,L48(N),Dicot,,,,,,,,CLOC
Clematis viticaulis,Coriflora viticaulis,Millboro leather flower,Ranunculaceae,Clematis,"Subshrub, Forb/herb",Perennial,L48(N),Dicot,,,,,,,,CLVI8
Cleome arborea,Cleome pungens; Cleome spinosa; Cleome houtteana; Cleome hasslerana; Cleome hassleriana; Cleome sandwicensis; Tarenaya spinosa; Neocleome spinosa; Tarenaya hassleriana,pink queen,Capparaceae,Cleome,"Forb/herb, Subshrub",Annual,L48(I)HI(I)PR(I)VI(N)CAN(I),Dicot,,,,,,,,"CLHA,CLSP3"
Cleome isomeris,Isomeris arborea; Isomeris arborea var. globosa; Isomeris arborea var. angustata; Isomeris arborea var. insularis,bladderpod spiderflower,Capparaceae,Cleome,"Subshrub, Shrub",Perennial,L48(N),Dicot,5.0,No,Yellow,Early Spring,High,Intolerant,Moderate,CLIS
Cleome serrata,Neocleome serrata,toothed spiderflower,Capparaceae,Cleome,"Subshrub, Forb/herb",Annual,L48(I)PR(I),Dicot,,,,,,,,CLSE2
Cleome viscosa,Cleome icosandra; Arivela viscosa; Polanisia viscosa,Asian spiderflower,Capparaceae,Cleome,"Subshrub, Forb/herb",Annual,L48(I)PR(I)VI(I),Dicot,,,,,,,,CLVI9
Clermontia ×leptoclada,Clermontia leptoclada var. holopsila; Clermontia leptoclada var. urceolata,clermontia,Campanulaceae,Clermontia,Tree,Perennial,HI(N),Dicot,,,,,,,,CLLE3
Clermontia arborescens,,'oha wai nui,Campanulaceae,Clermontia,"Tree, Shrub",Perennial,HI(N),Dicot,,,,,,,,CLAR4
Clermontia mannii,Clermontia furcata; Clermontia arborescens ssp. arborescens,'oha wai nui,Campanulaceae,Clermontia,"Tree, Shrub",Perennial,HI(N),Dicot,,,,,,,,CLARA
Clermontia arborescens ssp. waihiae,,'oha wai nui,Campanulaceae,Clermontia,"Tree, Shrub",Perennial,HI(N),Dicot,,,,,,,,CLARW
Clermontia waikoluensis,Clermontia arborescens ssp. waikoluensis; Delissea fauriei,'oha wai nui,Campanulaceae,Clermontia,"Tree, Shrub",Perennial,HI(N),Dicot,,,,,,,,CLARW2
Clermontia calophylla,Clermontia parviflora var. grandis; Clermontia montis-loa var. tenuifolia; Clermontia parviflora var. intermedia,lava clermontia,Campanulaceae,Clermontia,Shrub,Perennial,HI(N),Dicot,,,,,,,,CLCA5
Clermontia carinifera,,Koloa clermontia,Campanulaceae,Clermontia,Shrub,Perennial,HI(N),Dicot,,,,,,,,CLCA6
Clermontia clermontioides,,Kauai clermontia,Campanulaceae,Clermontia,"Tree, Shrub",Perennial,HI(N),Dicot,,,,,,,,CLCL
