,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ornamental Winners,Agricultural Winners,Nitrogen-fixer?,family,Generic Epithet,Specific Hybrid Symbol,Specific Epithet,Section,Botanic,Infraspecific rank,Infraspecific Epithet,Cultivar Epithet,comm_ful,Conservation Status,Native range,"Habit (tree, shrub, vine)",# stems,Growth rate,Lifespan,Max Height (ft),Max Spread (ft),Leaf persistence,HABITAT,Wetland indicator,Light exposure,Soil preferences,Propagation,Root type/depth,Container Type,Transplant Time,Time to prune,Insect Pests,Disease,pH min,pH max,USDA Hardiness Zone,Salt Tolerance,Drought tolerance,Heat tolerance,"Flood Tolerance intolerant, tolerant, medium (10-30% season)",Leaf color,Fall color,flower color,Bloom time,Fruit color,Bark features,Thorns?,Fruit type,CTLA Species rating,Edible?,Wildlife value,"wildlife habitat uses            DB = high value deer browse
WB = wildlife browse
WM = wildlife mast (fruit, nut, seed)
WC = wildlife cover
",wildlife specific uses,Uses,Umass treecount
,,,,,,,,Quercus velutina,,,,,,,T,,M,L,90,39,,,None,sun/partial,,,,,,,,,4.5-6.0,,4a,N,L,,,,,,eSp,,,,,,,,,,"Grows best on moist, rich, well-drained soils, but it is often found on poor, dry sandy or heavy glacial clay hillsides where it seldom lives more than 200 years.",
,,,,,,,,Fraxinus americana,,,,,,,T,,M,M,90,32,,,FACU,sun/partial,,,,,,,,,5.0-7.5,,3b,M,L,,M,,,,m-lSp,,,,,,,,,,"high fertility requirement, low inundation and soil saturation tolerance, *< or = 2 inch caliper bare root **Difficult to grow (TNC) and may be dropped.",
,,,,,,,,Carya cordiformis,,,,,,,T,,S,L,100,39,,,FACU+,sun/partial,,,,,,,,,6.5-7.4,,4,N,H,,M,,,,mSp,,,,,,,,,,intolerant to soil or root damage,
*,,,Sapindaceae,acer,,griseum,,acer griseum,,,,"maple, paperbark",Least concern,,,,,,30,20,deciduous,,,,,,,,,,,,6,7.5,4,,,,,green,red,,,,,,samara,75,,,,,lawn tree,20
,,,,,,,,Picea rubens,,,,,,,T,,M,L,110,,,,FACU,shade,,,,,,,,,4.0-5.8,,3b,N,M,,,,,,mSp,,,,,,,,,,"Long lived (may be > 400 years old), Good winter cover and should be retained over balsam fir (short lived).",
,,,,,,,,Prunus pensylvanica,,,,,,,T,,R,S,30,,,,FACU-,sun,,,,,,,,,4.3-6.6,,3a,N,L,,,,,,mSp,,,,,,,,,,"low fertility requirement, fruit edible, pioneer species, seed cold strat. req.",
,,,,,,,,Pinus resinosa,,,,,,,T,,R,L,80,40,,,FACU,sun,,,,,,,,,4.5-6.0,,2b,N,L,,,,,,Sp,,,,,,,,,,"low fertility requirement, grows well in poor soils, seed cold strat. Req.",
,,,,,,,,Rhus hirta,,,,,,,S,,R,S,30,,,,None,sun/partial,,,,,,,,,4.5-7.2,,3b,N,H,,,,,,lSp,,,,,,,,,,"low fertility requirement, pioneer species on disturbed sites, invasive?",
,,,,,,,,Ostrya virginiana,,,,,,,T,,S,S,45,,,,FACU-,shade,,,,,,,,,4.2-7.6,,3a,N,M,,I,,,,mSp,,,,,,,,,,"low fertility requirement, seed cold strat. Req.",
,,,,,,,,Fagus grandifolia,,,,,,,T,,S,L,95,52,,,FACU,shade,,,,,,,,,4.0-6.5,,2b,N,H,,I,,,,mSp,,,,,,,,,,"low fertility requirement, seed cold strat. Req. Difficult to grow (TNC) and may be dropped from list. Susecptible to beech bark disease. Only plant at low densities (<10% of planting).",
