,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ornamental Winners,Agricultural Winners,Nitrogen-fixer?,family,Generic Epithet,Specific Hybrid Symbol,Specific Epithet,Section,Botanic,Infraspecific rank,Infraspecific Epithet,Cultivar Epithet,comm_ful,Conservation Status,Native range,"Habit (tree, shrub, vine)",# stems,Growth rate,Lifespan,Max Height (ft),Max Spread (ft),Leaf persistence,HABITAT,Wetland indicator,Light exposure,Soil preferences,Propagation,Root type/depth,Container Type,Transplant Time,Time to prune,Insect Pests,Disease,pH min,pH max,USDA Hardiness Zone,Salt Tolerance,Drought tolerance,Heat tolerance,"Flood Tolerance intolerant, tolerant, medium (10-30% season)",Leaf color,Fall color,flower color,Bloom time,Fruit color,Bark features,Thorns?,Fruit type,CTLA Species rating,Edible?,Wildlife value,"wildlife habitat uses            DB = high value deer browse
WB = wildlife browse
WM = wildlife mast (fruit, nut, seed)
WC = wildlife cover
",wildlife specific uses,Uses,Umass treecount
,,,Lamiaceae,thymus,,vulgaris,,thymus vulgaris,,,,english thyme,Least concern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,
,,,Lauraceae,laurus,,nobilis,,laurus nobilis,,,,"laurel, bay",Least concern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,
,,,Lauraceae,lindera,,benzoin,,lindera benzoin,,,,"spicebush, common",Least concern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,,,,,,6
,,,Lauraceae,sassafras,,albidum,,sassafras albidum,,,,sassafras,Least concern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,,,,,,19
,,,Magnoliaceae,liriodendron,,tulipifera,,liriodendron tulipifera,,,fastigiatum,tuliptree,Least concern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,50
,,,Magnoliaceae,liriodendron,,tulipifera,,liriodendron tulipifera,,,,tuliptree,Least concern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,50
,,,Magnoliaceae,magnolia,,acuminata,,magnolia acuminata,,,,"magnolia, cucumbertree",Least concern,,,,,,,,,,,,,,,,,,,,5,6,,,,,,,,,,,,,,70,,,,,,1
,,,Magnoliaceae,magnolia,,denudata,,magnolia denudata,,,,"magnolia, yulan",Least concern,,,,,,,,,,,,,,,,,,,,5,6,,,,,,,,,,,,,,70,,,,,,4
,,,Magnoliaceae,magnolia,,macrophylla,,magnolia macrophylla,,,,"magnolia, bigleaf",Least concern,,,,,,,,,,,,,,,,,,,,5,6,,,,,,,,,,,,,,75,,,,,,2
,,,Magnoliaceae,magnolia,,stellata,,magnolia stellata,,,,"magnolia, star",Endangered,,,,,,,,,,,,,,,,,,,,5,6,,,,,,,,,,,,,,70,,,,,,27
,,,Magnoliaceae,magnolia,,tripetala,,magnolia tripetala,,,,"magnolia, umbrella",Least concern,,,,,,,,,,,,,,,,,,,,5,6,,,,,,,,,,,,,,80,,,,,,1
,,,Magnoliaceae,magnolia,,virginiana,,magnolia virginiana,,,,"magnolia, sweet bay",Least concern,,,,,,,,,,,,,,,,,,,,5,6,,,,,,,,,,,,,,70,,,,,,
,,,Malvaceae,hibiscus,,moscheutos,,hibiscus moscheutos,,,,rosemallow,Least concern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,7
,,,Malvaceae,hibiscus,,syriacus,,hibiscus syriacus,,,,rose of sharon,Least concern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,23
,,,Malvaceae,tilia,,americana,,tilia americana,,,fastigata,"linden, american",Least concern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,6
,,,Malvaceae,tilia,,americana,,tilia americana,,,lincoln,"linden, american",Least concern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,6
,,,Malvaceae,tilia,,americana,,tilia americana,,,redmond,"linden, american",Least concern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,6
,,,Malvaceae,tilia,,americana,,tilia americana,,,,"linden, american",Least concern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,6
,,,Malvaceae,tilia,,cordata,,tilia cordata,,,,"linden, littleleaf",Least concern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,103
,,,Marantaceae,calathea,,makoyana,,calathea makoyana,,,,peakcock plant,Least concern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,1
,,,Marattiaceae,ptisana,,salicina,,ptisana salicina,,,,"fern, king",Least concern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,1
,,,Moraceae,ficus,,benjamina,,ficus benjamina,,,,"fig, weeping",Least concern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,1
,,,Moraceae,ficus,,elastica,,ficus elastica,,,variegata,indian rubberplant,Least concern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,1
,,,Moraceae,ficus,,elastica,,ficus elastica,,,,indian rubberplant,Least concern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,1
,,,Moraceae,ficus,,microcarpa,,ficus microcarpa,,,,"fig, indian laurel",Least concern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,1
,,,Moraceae,maclura,,pomifera,,maclura pomifera,,,,osage orange,Least concern,,,,,,,,,,"UPL (Eastern Mountains and Piedmont), UPL (Western Mountains, Valleys, and Coast), UPL (Arid West), FACU (Great Plains), FACU (Midwest), FACU (Northcentral & Northeast), FACU (Atlantic and Gulf Coastal Plain)",,,,,,,,,,,,,,,,,,,,,,,yes,,40,,,,,,
,,,Moraceae,morus,,alba,,morus alba,,,,"mulberry, white",Least concern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,3
,,,Moraceae,morus,,rubra,,morus rubra,,,,"mulberry, red",Least concern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,4
,,,Myricaceae,comptonia,,peregrina,,comptonia peregrina,,,,"fern, sweet",Least concern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,4
,,,Myricaceae,myrica,,pensylvanica,,myrica pensylvanica,,,morton,"bayberry, northern",Least concern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,38
,,,Myricaceae,myrica,,pensylvanica,,myrica pensylvanica,,,,"bayberry, northern",Least concern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,38
,,,Nelumbonaceae,lotus,,corniculatus,,lotus corniculatus,,,,bird's-foot trefoil,Least concern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,1
,,,Nephrolepidaceae,nephrolepis,,exaltata,,nephrolepis exaltata,,,,"fern, boston",Least concern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,1
,,,Oleaceae,abeliophyllum,,distichum,,abeliophyllum distichum,,,,"forsythia, white",Endangered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,,,,,,1
,,,Oleaceae,chionanthus,,virginicus,,chionanthus virginicus,,,,fringe tree,Least concern,,,,,,,,,,,,,,,,,,,,5,6,,,,,,,,,,,,,,80,,,,,,15
,,,Oleaceae,fraxinus,,americana,,fraxinus americana,,,autmnpurple,"ash, white",Critically endangerd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,59
,,,Oleaceae,fraxinus,,americana,,fraxinus americana,,,autumnapplause,"ash, white",Critically endangerd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,59
,,,Oleaceae,fraxinus,,americana,,fraxinus americana,,,autumnblaze,"ash, white",Critically endangerd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,59
,,,Oleaceae,fraxinus,,americana,,fraxinus americana,,,chicagoregal,"ash, white",Critically endangerd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,59
,,,Oleaceae,fraxinus,,americana,,fraxinus americana,,,elkgrove,"ash, white",Critically endangerd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,59
,,,Oleaceae,fraxinus,,americana,,fraxinus americana,,,fallfestival,"ash, white",Critically endangerd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,59
,,,Oleaceae,fraxinus,,americana,,fraxinus americana,,,rosehill,"ash, white",Critically endangerd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,59
,,,Oleaceae,fraxinus,,americana,,fraxinus americana,,,royalpurple,"ash, white",Critically endangerd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,59
,,,Oleaceae,fraxinus,,americana,,fraxinus americana,,,skyline,"ash, white",Critically endangerd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,59
,,,Oleaceae,fraxinus,,americana,,fraxinus americana,,,,"ash, white",Critically endangerd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,59
,,,Oleaceae,fraxinus,,excelsior,,fraxinus excelsior,,,,"ash, european",Near-threatened,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,
,,,Oleaceae,fraxinus,,mandshurica,,fraxinus mandshurica,,,,"ash, manchurian",Least concern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,,,,,,
,,,Oleaceae,fraxinus,,nigra,,fraxinus nigra,,,fallgold,"ash, black",Critically endangerd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,1
,,,Oleaceae,fraxinus,,nigra,,fraxinus nigra,,,,"ash, black",Critically endangerd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,1
,,,Oleaceae,fraxinus,,ornus,,fraxinus ornus,,,,"ash, flowering",Least concern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,,,,,,
,,,Oleaceae,fraxinus,,oxycarpa,,fraxinus oxycarpa,,,,"ash, raywood",Least concern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,,,,,,
,,,Oleaceae,fraxinus,,pennsylvanica,,fraxinus pennsylvanica,,,,"ash, green",Critically endangerd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,,,,,,121
,,,Oleaceae,fraxinus,,quadrangulata,,fraxinus quadrangulata,,,,"ash, blue",Critically endangerd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,2
,,,Oleaceae,ligustrum,,vulgare,,ligustrum vulgare,,,,"privet, european",Least concern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,18
,,,Oleaceae,syringa,,reticulata,,syringa reticulata,,,ivorysilk,"lilac, japanese tree",Least concern,,,,,,,,,,,,,,,,,,,,6,7.5,,,,,,,,,,,,,,70,,,,,,27
,,,Oleaceae,syringa,,reticulata,,syringa reticulata,,,,"lilac, japanese tree",Least concern,,,,,,,,,,,,,,,,,,,,6,7.5,,,,,,,,,,,,,,70,,,,,,27
,,,Oleaceae,syringa,,vulgaris,,syringa vulgaris,,,,lilac,Least concern,,,,,,,,,,,,,,,,,,,,6,7.5,,,,,,,,,,,,,,70,,,,,,38
,,,Onocleaceae,matteuccia,,struthiopteris,,matteuccia struthiopteris,,,,ostrich fern,Least concern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,1
,,,Paulowniaceae,paulownia,,tomentosa,,paulownia tomentosa,,,,empress tree,Least concern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,,,,1
,,,Pinaceae,abies,,grandis,,abies grandis,,,,"fir, grand",Least concern,,tree,,,,,,evergreen,,,,,,,,spring ,,,,,,,,,,,,,,,,,,,75,,,,,,
,,,Pinaceae,abies,,procera,,abies procera,,,,"fir, noble",Least concern,,tree,,,,,,evergreen,,,,,,,,,,,,,,,,,,,,,,,,,,,75,,,,,,
,,,Pinaceae,picea,,abies,,picea abies,,,pendula,"spruce, norway",Least concern,,,,,,,,evergreen,,,,,,,,,,,,5,6,,,,,,,,,,,,,,65,,,,,,95
,,,Pinaceae,picea,,abies,,picea abies,,,,"spruce, norway",Least concern,,,,,,,,evergreen,,,,,,,,,,,,5,6,,,,,,,,,,,,,,65,,,,,,95
,,,Pinaceae,picea,,engelmannii,,picea engelmannii,,,,"spruce, engelmann",Least concern,,,,,,,,evergreen,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,
,,,Pinaceae,picea,,glauca,,picea glauca,,,conica,"spruce, white",Least concern,,,,,,,,evergreen,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,,,,21
,,,Pinaceae,picea,,glauca,,picea glauca,,,,"spruce, white",Least concern,,,,,,,,evergreen,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,,,,21
,,,Pinaceae,picea,,mariana,,picea mariana,,,,"spruce, black",Least concern,,,,,,,,evergreen,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,10
,,,Pinaceae,picea,,omorika,,picea omorika,,,,"spruce, serbian",Endangered,,,,,,,,evergreen,,,,,,,,,,,,,,,,,,,,,,,,,,,75,,,,,,2
,,,Pinaceae,picea,,orientalis,,picea orientalis,,,,"spruce, oriental-caucasian",Least concern,,,,,,,,evergreen,,,,,,,,,,,,,,,,,,,,,,,,,,,75,,,,,,
,,,Pinaceae,picea,,pungens,,picea pungens,,,,"spruce, colorado",Least concern,,,,,,,,evergreen,,,,,,,,,,,,6,7,,,,,,,,,,,,,,60,,,,,,22
,,,Pinaceae,picea,,rubens,,picea rubens,,,,"spruce, red",Least concern,,,,,,,,evergreen,,,,,,,,,,,,,,,,,,,,,,,,,,,65,,,,,,
,,,Pinaceae,picea,,sitchensis,,picea sitchensis,,,,"spruce, sitka",Least concern,,,,,,,,evergreen,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,
,,,Pinaceae,pinus,,banksiana,,pinus banksiana,,,,"pine, jack",Least concern,,,,,,,,evergreen,,,,,,,,,,,,5,6,,,,,,,,,,,,,,20,,,,,,
,,,Pinaceae,pinus,,bungeana,,pinus bungeana,,,,"pine, lacebark",Least concern,,,,,,,,evergreen,,,,,,,,,,,,5,6,,,,,,,,,,,,,,85,,,,,,1
,,,Pinaceae,pinus,,cembra,,pinus cembra,,,,"pine, swiss stone",Least concern,,,,,,,,evergreen,,,,,,,,,,,,5,6,,,,,,,,,,,,,,85,,,,,,13
,,,Pinaceae,pinus,,cembroides,,pinus cembroides,,,,"pine, pinyon",Least concern,,,,,,,,evergreen,,,,,,,,,,,,5,6,,,,,,,,,,,,,,85,,,,,,5
,,,Pinaceae,pinus,,contorta,,pinus contorta,,,,"pine, lodgepole",Least concern,,,,,,,,evergreen,,,,,,,,,,,,5,6,,,,,,,,,,,,,,55,,,,,,
,,,Pinaceae,pinus,,densiflora,,pinus densiflora,,,oculusraco,"pine, japanese red",Least concern,,,,,,,,evergreen,,,,,,,,,,,,5,6,,,,,,,,,,,,,,65,,,,,,5
,,,Pinaceae,pinus,,densiflora,,pinus densiflora,,,,"pine, japanese red",Least concern,,,,,,,,evergreen,,,,,,,,,,,,5,6,,,,,,,,,,,,,,65,,,,,,5
,,,Pinaceae,pinus,,flexilis,,pinus flexilis,,,,"pine, limber",Least concern,,,,,,,,evergreen,,,,,,,,,,,,5,6,,,,,,,,,,,,,,55,,,,,,50
,,,Pinaceae,pinus,,koraiensis,,pinus koraiensis,,,,korean pine,Least concern,,,,,,,,evergreen,,,,,,,,,,,,5,6,,,,,,,,,,,,,,75,,,,,,9
,,,Pinaceae,pinus,,monticola,,pinus monticola,,,,"pine, western white",Near-threatened,,,,,,,,evergreen,,,,,,,,,,,,5,6,,,,,,,,,,,,,,45,,,,,,
,,,Pinaceae,pinus,,mugo,,pinus mugo,,,,"pine, mugo",Least concern,,,,,,,,evergreen,,,,,,,,,,,,5,6,,,,,,,,,,,,,,60,,,,,,10
,,,Pinaceae,pinus,,nigra,,pinus nigra,,,,"pine, austrian",Least concern,,,,,,,,evergreen,,,,,,,,,,,,5,6,,,,,,,,,,,,,,75,,,,,,24
*,,,Pinaceae,pinus,,parviflora,,pinus parviflora,,,,"pine, japanese white",Least concern,,,,,,,,evergreen,,,,,,,,,,,,5,6,,,,,,,,,,,,,,85,,,,,,5
,,,Pinaceae,pinus,,ponderosa,,pinus ponderosa,,,,"pine, ponderosa",Least concern,,,,,,,,evergreen,,,,,,,,,,,,5,6,,,,,,,,,,,,,,75,,,,,,8
,,,Pinaceae,pinus,,resinosa,,pinus resinosa,,,,"pine, red",Least concern,,,,,,,,evergreen,,,,,,,,,,,,5,6,,,,,,,,,,,,,,75,,,,,,130
,,,Pinaceae,pinus,,rigida,,pinus rigida,,,,"pine, pitch",Least concern,,,,,,,,evergreen,,,,,,,,,,,,5,6,,,,,,,,,,,,,,65,,,,,,14
,,,Pinaceae,pinus,,strobiformis,,pinus strobiformis,,,,"pine, golden",Least concern,,,,,,,,evergreen,,,,,,,,,,,,5,6,,,,,,,,,,,,,,70,,,,,,
,,,Pinaceae,pinus,,strobus,,pinus strobus,,,fastigiata,"pine, white",Least concern,,,,,,,,evergreen,temperate broadleaf and mixed forests biome. Well-drained or sandy soils,,,,,,,,,,Blister rust,4.5,6,,,,,,,,,,,,,,85,,,,,,608
,,,Pinaceae,pinus,,strobus,,pinus strobus,,,pendula,"pine, white",Least concern,,,,,,,,evergreen,,,,,,,,,,,,4.5,6,,,,,,,,,,,,,,85,,,,,,608
,,,Pinaceae,pinus,,strobus,,pinus strobus,,,,"pine, white",Least concern,,,,,,,,evergreen,,,,,,,,,,,,4.5,6,,,,,,,,,,,,,,85,,,,,,608
,,,Pinaceae,pinus,,sylvestris,,pinus sylvestris,,,,"pine, scots",Least concern,,,,,,,,evergreen,,,,,,,,,,,,5,6,,,,,,,,,,,,,,80,,,,,,64
,,,Pinaceae,pinus,,thunbergii,,pinus thunbergii,,,,"pine, japanese black",Least concern,,,,,,,,evergreen,,,,,,,,,,,,,,,,,,,,,,,,,,,65,,,,,,31
,,,Pinaceae,cedrus,,atlantica,,cedrus atlantica,,,,"cedar, atlas",Endangered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,,,,,,8
*,,,Pinaceae,cedrus,,deodara,,cedrus deodara,,,,"cedar, deodar",Least concern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,,,,,,
,,,Pinaceae,cedrus,,libani,,cedrus libani,,,,cedar of lebanon,Vulnerable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,,,,,,1
,,,Pinaceae,larix,,decidua,,larix decidua,,,,"larch, european",Least concern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,,,,,,13
*,,,Pinaceae,larix,,kaempferi,,larix kaempferi,,,,"larch, japanese",Least concern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,,,,,,1
,,,Pinaceae,larix,,laricina,,larix laricina,,,,tamarack,Least concern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,,,,,,18
,,,Pinaceae,larix,,occidentalis,,larix occidentalis,,,,"larch, western",Least concern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,,,1
,,,Pinaceae,pseudolarix,,amabilis,,pseudolarix amabilis,,,,"larch, golden",Vulnerable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,,,1
,,,Pinaceae,pseudotsuga,,menziesii,,pseudotsuga menziesii,,,,douglasfir,Least concern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,,,,,,2
,,,Pinaceae,tsuga,,canadensis,,tsuga canadensis,,,,"hemlock, eastern",Near-threatened,,,,,,,,,,,,,,,,,,,,5,6,,,,,,,,,,,,,,65,,,,,,132
,,,Pinaceae,tsuga,,caroliniana,,tsuga caroliniana,,,,"hemlock, carolina",Near-threatened,,,,,,,,,,,,,,,,,,,,5,6,,,,,,,,,,,,,,75,,,,,,21
,,,Pinaceae,tsuga,,mertensiana,,tsuga mertensiana,,,,"hemlock, mountain",Least concern,,,,,,,,,,,,,,,,,,,,5,6,,,,,,,,,,,,,,75,,,,,,
,,,Piperaceae,peperomia,,obtusifolia,,peperomia obtusifolia,,,,baby rubber plant,Least concern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,1
,,,Platanaceae,platanus,,acerifolia,,platanus acerifolia,,,bloodgood,"planetree, london",Least concern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,,,138
,,,Platanaceae,platanus,,acerifolia,,platanus acerifolia,,,,"planetree, london",Least concern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,,,138
,,,Platanaceae,platanus,,occidentalis,,platanus occidentalis,,,,sycamore,Least concern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,,,,,,3
,,,Poaceae,bambusa,,vulgaris,,bambusa vulgaris,,,,"bamboo, common",Least concern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,
,,,Poaceae,phyllostachys,,bissetii,,phyllostachys bissetii,,,,"bamboo, american",Least concern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,18
,,,Polygonaceae,coriandrum,,sativum,,coriandrum sativum,,,,cilantro,Least concern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,
,,,Polygonaceae,rumex,,acetosa,,rumex acetosa,,,,perpetual sorrel,Least concern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,1
,,,Punicaceae,punica,,granatum,,punica granatum,,,,pomegranate,Least concern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,
,,,Ranunculaceae,clematis,,terniflora,,clematis terniflora,,,,"clematis, sweet autumn",Least concern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,5
,,,Rhamnaceae,Ceanothus,,americanus,,Ceanothus americanus,,,,new jersey tea,Least concern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,2
,,,Rhamnaceae,frangula,,alnus,,frangula alnus,,,,"buckthorn, glossy",Least concern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,2
,,,Rhamnaceae,rhamnus,,cathartica,,rhamnus cathartica,,,,"buckthorn, common",Least concern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,1
,,,Rosaceae,amelanchier,,alnifolia,,amelanchier alnifolia,,,,"juneberry, regent",Least concern,,,,,,,,,,,,,,,,,,,,5,6,,,,,,,,,,,,,,70,,,,,,1
,,,Rosaceae,amelanchier,,canadensis,,amelanchier canadensis,,,,"serviceberry, canadian",Least concern,,,,,,,,,,,,,,,,,,,,5,6,,,,,,,,,,,,,,65,,,,,,136
,,,Rosaceae,amelanchier,x,grandiflora,,amelanchier grandiflora,,,,"serviceberry, apple",Least concern,,,,,,,,,,,,,,,,,,,,5,6,,,,,,,,,,,,,,70,,,,,,2
,,,Rosaceae,aronia,,arbutifolia,,aronia arbutifolia,,,briliantis,"chokeberry, red",Least concern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,,,,,,3
,,,Rosaceae,aronia,,arbutifolia,,aronia arbutifolia,,,,"chokeberry, red",Least concern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,,,,,,3
,,,Rosaceae,cotoneaster,,divaricatus,,cotoneaster divaricatus,,,,"cotoneaster, spreading",Least concern,,,,,,,,,,,,,,,,,,,,6.5,7.5,,,,,,,,,,,,,,65,,,,,,27
,,,Rosaceae,cotoneaster,,horizontalis,,cotoneaster horizontalis,,,,"cotoneaster, rockspray",Least concern,,,,,,,,,,,,,,,,,,,,6.5,7.5,,,,,,,,,,,,,,65,,,,,,
,,,Rosaceae,crataegus,,crus-galli,,crataegus crus-galli,,,,"hawthorn, cockspur",Least concern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,60,,,,,,11
,,,Rosaceae,crataegus,,laevigata,,crataegus laevigata,,,crimsoncloud,"hawthorn, english",Least concern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,45,,,,,,2
,,,Rosaceae,crataegus,,laevigata,,crataegus laevigata,,,,"hawthorn, english",Least concern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,45,,,,,,2
,,,Rosaceae,crataegus,,mollis,,crataegus mollis,,,,"hawthorn, downy",Least concern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,45,,,,,,10
,,,Rosaceae,crataegus,,oxyacantha,,crataegus oxyacantha,,,,"hawthorn, northern european",Least concern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,65,,,,,,3
,,,Rosaceae,crataegus,,phaenopyrum,,crataegus phaenopyrum,,,,"hawthorn, washington",Least concern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,70,,,,,,6
,,,Rosaceae,crataegus,,punctata,,crataegus punctata,,,,"hawthorn, spotted",Least concern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,50,,,,,,
,,,Rosaceae,crataegus,,viridis,,crataegus viridis,,,WinterKing,"hawthorn, green",Least concern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,70,,,,,,
,,,Rosaceae,crataegus,,viridis,,crataegus viridis,,,,"hawthorn, green",Least concern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,70,,,,,,
,,,Rosaceae,fragaria,,ananassa,,fragaria ananassa,,,,everbearing strawberry,Least concern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,1
,,,Rosaceae,malus,,arnoldiana,,malus arnoldiana,,,,"crabapple, arnold pink",Least concern,,,,,,,,,,,,,,,,,,,,5,6,,,,,,,,,,,,Resistance to verticillium wilt,,60,,,,,,7
,,,Rosaceae,malus,,baccata,,malus baccata,,,jackii,"crabapple, siberian white",Least concern,,,,,,,,,,,,,,,,,,,,5,6,,,,,,,,,,,,Resistance to verticillium wilt,,60,,,,,,5
,,,Rosaceae,malus,,baccata,,malus baccata,,,,"crabapple, siberian white",Least concern,,,,,,,,,,,,,,,,,,,,5,6,,,,,,,,,,,,Resistance to verticillium wilt,,60,,,,,,5
,,,Rosaceae,malus,,coronaria,,malus coronaria,var.,Â dasycalyx,charlottae,"crabapple, wild sweet",Least concern,,,,,,,,,,,,,,,,,,,,5,6,,,,,,,,,,,,Resistance to verticillium wilt,,50,,,,,,2
,,,Rosaceae,malus,,coronaria,,malus coronaria,,,,"crabapple, wild sweet",Least concern,,,,,,,,,,,,,,,,,,,,5,6,,,,,,,,,,,,Resistance to verticillium wilt,,50,,,,,,2
,,,Rosaceae,malus,,domestica,,malus domestica,,,liberty,"apple, macintosh",Least concern,,,,,,,,,,,,,,,,,,,,5,6,,,,,,,,,,,,Resistance to verticillium wilt,,60,,,,,,1
,,,Rosaceae,malus,,domestica,,malus domestica,,,,"apple, macintosh",Least concern,,,,,,,,,,,,,,,,,,,,5,6,,,,,,,,,,,,Resistance to verticillium wilt,,60,,,,,,1
