scientific_name,common_name,family,growth_habit,native_status,flower_color,bloom_period,notes,habitat_value,associated_wildlife,water_needs,soil_type,plant_communities,catalog_source
Rubus ursinus,California Blackberry,Rosaceae,Shrub (deciduous),SF Native,White,Spring;Winter,With espalier can make attractive feature and good habitat. Attracts Nuttall's White-crowned Sparrow and Red Admiral (Vanessa atalanta).,Fruit;Pollinator;Cover,Bees;Birds;Butterflies;Hummingbirds;Insects,None,Clay;Loam;Sand,Chaparral;Grassland/prairie;Riparian;Wetland;Woodland;Coastal scrub;Dunes,"SF Plant Finder (DataSF, CC)"
Salix laevigata,Red willow,Salicaceae,Tree (deciduous),CA Native,,Spring,,Cover,Bees;Birds;Butterflies,Moderate,Clay;Loam,Riparian;Wetland,"SF Plant Finder (DataSF, CC)"
Salix lasiandra,Yellow Willow,Salicaceae,Tree (deciduous),SF Native,Yellow,Spring,Atrracts Mourning Cloak (Nymphalis antiopa) and Western Tiger Swallowtail (Papilio rutulus).,Cover;Buds/greens;Cover;Pollinator,Bees;Insects,Moderate,Clay;Loam;Sand,Riparian;Wetland;Woodland,"SF Plant Finder (DataSF, CC)"
Salix lasiolepis,Arroyo Willow,Salicaceae,Tree (deciduous),SF Native,Yellow,Spring;Winter,Atrracts Mourning Cloak (Nymphalis antiopa) and Western Tiger Swallowtail (Papilio rutulus).,Buds/greens;Pollinator,Bees;Birds;Butterflies;Insects,Low,Clay;Loam;Sand,Coastal scrub;Riparian;Wetland;Woodland,"SF Plant Finder (DataSF, CC)"
Salix lutea,Yellow Willow,Salicaceae,Shrub (deciduous),CA Native,Yellow,Spring,"Attracts Dreamy Duskywing (Erynnis icelus), Viceroy (Limenitis archippus), Lorquin's Admiral (Limenitis lorquini), Weidemeyer's Admiral (Limenitis weidemeyerii), Mourning Cloak (Nymphalis antiopa), Western Tiger Swallowtail (Papilio rutulus).",Pollinator,Bees;Butterflies,Moderate,Clay;Loam;Sand,Wetland;Woodland,"SF Plant Finder (DataSF, CC)"
Salvia apiana,California White Sage,Lamiaceae,Shrub (evergreen),CA Native,White,Spring;Summer,,Pollinator,Bees;Birds;Butterflies,None,Clay;Loam;Sand,Chaparral;Coastal scrub,"SF Plant Finder (DataSF, CC)"
Salvia clevelandii,Cleveland Sage,Lamiaceae,Shrub (evergreen),CA Native,Blue;Purple,Spring;Summer,Very fragrant.,Pollinator;Cover,Bees;Butterflies;Hummingbirds,None,Clay;Sand,Chaparral,"SF Plant Finder (DataSF, CC)"
Salvia greggii 'Alba',Autumn Sage,Lamiaceae,Shrub (evergreen),Exotic,White,Summer;Fall,,Pollinator,Butterflies;Bees;Hummingbirds,None,Sand;Loam,,"SF Plant Finder (DataSF, CC)"
Salvia greggii 'Salmon',Salmon Texas Sage,Lamiaceae,Shrub (evergreen),Exotic,Pink,Spring;Fall,,Pollinator,Butterflies;Bees;Hummingbirds,None,Sand;Loam,,"SF Plant Finder (DataSF, CC)"
Salvia leucantha,"Mexican Bush Sage, Velvet Sage",Lamiaceae,Shrub (evergreen),Exotic,White;Purple,Summer;Fall,,Pollinator,Butterflies;Bees;Hummingbirds,None,Sand;Loam,,"SF Plant Finder (DataSF, CC)"
Salvia leucophylla,Coast Purple Sage,Lamiaceae,Shrub (evergreen),CA Native,Purple,Spring,,Pollinator;Cover,Bees;Butterflies;Hummingbirds,None,Clay;Loam;Sand;Rock,Coastal scrub;Chaparral,"SF Plant Finder (DataSF, CC)"
Salvia mellifera,Black sage,Lamiaceae,Shrub (evergreen),CA Native,White;Purple,Spring;Summer,Groundcover;Good for erosion control,Fruit;Pollinator,Hummingbirds;Butterflies;Birds,None,Clay;Sand,Coastal scrub;Chaparral,"SF Plant Finder (DataSF, CC)"
