scientific_name,family,genus,growth_habit,conservation_status,catalog_source
Eugenia padronii,Myrtaceae,Eugenia,Tree,Endangered,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Eugenia patrisii,Myrtaceae,Eugenia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Eugenia pisiformis,Myrtaceae,Eugenia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Eugenia procera,Myrtaceae,Eugenia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Eugenia pseudopsidium,Myrtaceae,Eugenia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Eugenia pyriformis,Myrtaceae,Eugenia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Eugenia reinwardtiana,Myrtaceae,Eugenia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Eugenia rhombea,Myrtaceae,Eugenia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Eugenia rodriguesensis,Myrtaceae,Eugenia,Tree,Critically Endangered,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Eugenia rotundata,Myrtaceae,Eugenia,Tree,Vulnerable,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Eugenia serrasuela,Myrtaceae,Eugenia,Tree,Extinct,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Eugenia sessiliflora,Myrtaceae,Eugenia,Tree,Near Threatened,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Eugenia singampattiana,Myrtaceae,Eugenia,Tree,Endangered,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Eugenia speciosa,Myrtaceae,Eugenia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Eugenia stahlii,Myrtaceae,Eugenia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Eugenia stewardsonii,Myrtaceae,Eugenia,Tree,Vulnerable,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Eugenia stigmatosa,Myrtaceae,Eugenia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Eugenia stipitata,Myrtaceae,Eugenia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Eugenia sulcata,Myrtaceae,Eugenia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Eugenia uniflora,Myrtaceae,Eugenia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Eugenia uruguayensis,Myrtaceae,Eugenia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Eugenia venezuelensis,Myrtaceae,Eugenia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Eugenia woodburyana,Myrtaceae,Eugenia,Tree,Vulnerable,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Eulychnia acida,Cactaceae,Eulychnia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Eulychnia breviflora,Cactaceae,Eulychnia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Eulychnia iquiquensis,Cactaceae,Eulychnia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Eumachia archboldiana,Rubiaceae,Eumachia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Eumachia forsteriana,Rubiaceae,Eumachia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Eumachia leptothyrsa,Rubiaceae,Eumachia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Eumachia membranifolia,Rubiaceae,Eumachia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Eumachia microdon,Rubiaceae,Eumachia,,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Eumachia oncocarpa,Rubiaceae,Eumachia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Euodia hortensis,Rutaceae,Euodia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Euonymus atropurpureus,Celastraceae,Euonymus,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Euonymus carnosus,Celastraceae,Euonymus,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Euonymus cochinchinensis,Celastraceae,Euonymus,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Euonymus crenulatus,Celastraceae,Euonymus,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Euonymus dichotomus,Celastraceae,Euonymus,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Euonymus europaeus,Celastraceae,Euonymus,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Euonymus grandiflorus,Celastraceae,Euonymus,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Euonymus hamiltonianus,Celastraceae,Euonymus,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Euonymus indicus,Celastraceae,Euonymus,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Euonymus latifolius,Celastraceae,Euonymus,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Euonymus laxiflorus,Celastraceae,Euonymus,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Euonymus lucidus,Celastraceae,Euonymus,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Euonymus maackii,Celastraceae,Euonymus,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Euonymus tingens,Celastraceae,Euonymus,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Eupatorium perfoliatum,Asteraceae,Eupatorium,,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Euphorbia alluaudii,Euphorbiaceae,Euphorbia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Euphorbia ammak,Euphorbiaceae,Euphorbia,Tree,Vulnerable,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Euphorbia antiquorum,Euphorbiaceae,Euphorbia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Euphorbia antso,Euphorbiaceae,Euphorbia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Euphorbia buxoides,Euphorbiaceae,Euphorbia,Tree,Data Deficient,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Euphorbia calyculata,Euphorbiaceae,Euphorbia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Euphorbia candelabrum,Euphorbiaceae,Euphorbia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Euphorbia comosa,Euphorbiaceae,Euphorbia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Euphorbia cooperi,Euphorbiaceae,Euphorbia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Euphorbia cotinifolia,Euphorbiaceae,Euphorbia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Euphorbia cuneata,Euphorbiaceae,Euphorbia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Euphorbia cupularis,Euphorbiaceae,Euphorbia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Euphorbia decorsei,Euphorbiaceae,Euphorbia,Tree,Endangered,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Euphorbia dendroides,Euphorbiaceae,Euphorbia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Euphorbia desmondii,Euphorbiaceae,Euphorbia,Tree,Data Deficient,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Euphorbia drupifera,Euphorbiaceae,Euphorbia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Euphorbia elastica,Euphorbiaceae,Euphorbia,Tree,Critically Endangered,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Euphorbia epiphylloides,Euphorbiaceae,Euphorbia,Tree,Endangered,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Euphorbia grandidens,Euphorbiaceae,Euphorbia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Euphorbia grandifolia,Euphorbiaceae,Euphorbia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Euphorbia guerichiana,Euphorbiaceae,Euphorbia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Euphorbia gymnonota,Euphorbiaceae,Euphorbia,Tree,Near Threatened,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Euphorbia haeleeleana,Euphorbiaceae,Euphorbia,Tree,Endangered,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Euphorbia indistincta,Euphorbiaceae,Euphorbia,Tree,Endangered,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Euphorbia ingens,Euphorbiaceae,Euphorbia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Euphorbia intisy,Euphorbiaceae,Euphorbia,Tree,Near Threatened,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Euphorbia kamerunica,Euphorbiaceae,Euphorbia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Euphorbia keithii,Euphorbiaceae,Euphorbia,Tree,Endangered,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Euphorbia lacei,Euphorbiaceae,Euphorbia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Euphorbia lactea,Euphorbiaceae,Euphorbia,Tree,Data Deficient,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Euphorbia laurifolia,Euphorbiaceae,Euphorbia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Euphorbia leucocephala,Euphorbiaceae,Euphorbia,,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Euphorbia magnicapsula lacertosa,Euphorbiaceae,Euphorbia,Tree,Vulnerable,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Euphorbia mainty,Euphorbiaceae,Euphorbia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Euphorbia mellifera,Euphorbiaceae,Euphorbia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Euphorbia milii bevilanensis,Euphorbiaceae,Euphorbia,,Endangered,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Euphorbia neriifolia,Euphorbiaceae,Euphorbia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Euphorbia nivulia,Euphorbiaceae,Euphorbia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Euphorbia nyikae nyikae,Euphorbiaceae,Euphorbia,Tree,Vulnerable,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Euphorbia petiolaris,Euphorbiaceae,Euphorbia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Euphorbia plumerioides,Euphorbiaceae,Euphorbia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Euphorbia poissonii,Euphorbiaceae,Euphorbia,,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Euphorbia pulcherrima,Euphorbiaceae,Euphorbia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Euphorbia qarad,Euphorbiaceae,Euphorbia,Tree,Data Deficient,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Euphorbia quinquecostata,Euphorbiaceae,Euphorbia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Euphorbia santapaui,Euphorbiaceae,Euphorbia,Tree,Endangered,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Euphorbia schlechtendalii,Euphorbiaceae,Euphorbia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Euphorbia sekukuniensis,Euphorbiaceae,Euphorbia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Euphorbia socotrana,Euphorbiaceae,Euphorbia,Tree,Vulnerable,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Euphorbia sudanica,Euphorbiaceae,Euphorbia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Euphorbia tanquahuete,Euphorbiaceae,Euphorbia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Euphorbia tetragona,Euphorbiaceae,Euphorbia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Euphorbia tirucalli,Euphorbiaceae,Euphorbia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Euphorbia triangularis,Euphorbiaceae,Euphorbia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Euphorbia trigona,Euphorbiaceae,Euphorbia,,Data Deficient,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Euphorbia vajravelui,Euphorbiaceae,Euphorbia,Tree,Endangered,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Euphorianthus euneurus,Sapindaceae,Euphorianthus,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Euplassa cantareirae,Proteaceae,Euplassa,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Euplassa pinnata,Proteaceae,Euplassa,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Euplassa saxicola,Proteaceae,Euplassa,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Eupomatia laurina,Eupomatiaceae,Eupomatia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Euptelea pleiosperma,Eupteleaceae,Euptelea,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Euptelea polyandra,Eupteleaceae,Euptelea,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Euroschinus falcatus,Anacardiaceae,Euroschinus,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Euroschinus papuanus,Anacardiaceae,Euroschinus,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Eurya acuminata,Pentaphylacaceae,Eurya,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Eurya brassii,Pentaphylacaceae,Eurya,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Eurya cavinervis,Pentaphylacaceae,Eurya,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Eurya cerasifolia,Pentaphylacaceae,Eurya,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Eurya domaensis,Pentaphylacaceae,Eurya,Tree,Data Deficient,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Eurya longisepala,Pentaphylacaceae,Eurya,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Eurya meizophylla,Pentaphylacaceae,Eurya,Tree,Near Threatened,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Eurya nitida,Pentaphylacaceae,Eurya,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Eurya oxysepala,Pentaphylacaceae,Eurya,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Eurya sandwicensis,Pentaphylacaceae,Eurya,Tree,Vulnerable,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Eurya tigang,Pentaphylacaceae,Eurya,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Eurycoma apiculata,Simaroubaceae,Eurycoma,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Eurycoma longifolia,Simaroubaceae,Eurycoma,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Eurypetalum tessmannii,Fabaceae,Eurypetalum,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Eurypetalum unijugum,Fabaceae,Eurypetalum,Tree,Vulnerable,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Eusideroxylon zwageri,Lauraceae,Eusideroxylon,Tree,Vulnerable,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Euterpe catinga,Arecaceae,Euterpe,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Euterpe edulis,Arecaceae,Euterpe,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Euterpe luminosa,Arecaceae,Euterpe,Tree,Vulnerable,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Euterpe oleracea,Arecaceae,Euterpe,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Euterpe precatoria,Arecaceae,Euterpe,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Euthamia graminifolia,Asteraceae,Euthamia,,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Euthemis leucocarpa,Ochnaceae,Euthemis,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Euxylophora paraensis,Rutaceae,Euxylophora,Tree,Endangered,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Evolvulus nummularius,Convolvulaceae,Evolvulus,,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Exbucklandia populnea,Hamamelidaceae,Exbucklandia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Excoecaria acerifolia,Euphorbiaceae,Excoecaria,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Excoecaria agallocha,Euphorbiaceae,Excoecaria,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Excoecaria bantamensis,Euphorbiaceae,Excoecaria,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Excoecaria benthamiana,Euphorbiaceae,Excoecaria,Tree,Endangered,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Excoecaria borneensis,Euphorbiaceae,Excoecaria,,Near Threatened,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Excoecaria cochinchinensis,Euphorbiaceae,Excoecaria,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Excoecaria dallachyana,Euphorbiaceae,Excoecaria,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Excoecaria madagascariensis,Euphorbiaceae,Excoecaria,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Excoecaria myrioneura,Euphorbiaceae,Excoecaria,Tree,Vulnerable,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Excoecaria oppositifolia,Euphorbiaceae,Excoecaria,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Excoecaria parvifolia,Euphorbiaceae,Excoecaria,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Exellodendron barbatum,Chrysobalanaceae,Exellodendron,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Exocarpos aphyllus,Santalaceae,Exocarpos,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Exocarpos cupressiformis,Santalaceae,Exocarpos,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Exocarpos gaudichaudii,Santalaceae,Exocarpos,Tree,Endangered,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Exocarpos latifolius,Santalaceae,Exocarpos,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Exocarpos luteolus,Santalaceae,Exocarpos,,Critically Endangered,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Exocarpos menziesii,Santalaceae,Exocarpos,Tree,Endangered,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Exocarpos sparteus,Santalaceae,Exocarpos,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Exostema caribaeum,Rubiaceae,Exostema,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Exothea copalillo,Sapindaceae,Exothea,Tree,Endangered,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Exothea paniculata,Sapindaceae,Exothea,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Eysenhardtia adenostylis,Fabaceae,Eysenhardtia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Eysenhardtia orthocarpa,Fabaceae,Eysenhardtia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Eysenhardtia polystachya,Fabaceae,Eysenhardtia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Eysenhardtia subcoriacea,Fabaceae,Eysenhardtia,Tree,Vulnerable,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Eysenhardtia texana,Fabaceae,Eysenhardtia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Fadogia erythrophloea,Rubiaceae,Fadogia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Fagaropsis hildebrandtii,Rutaceae,Fagaropsis,Tree,Near Threatened,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Fagraea auriculata,Gentianaceae,Fagraea,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Fagraea berteroana,Gentianaceae,Fagraea,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Fagraea bodenii,Gentianaceae,Fagraea,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Fagraea ceilanica,Gentianaceae,Fagraea,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Fagraea gracilipes,Gentianaceae,Fagraea,Tree,Near Threatened,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Fagraea litoralis,Gentianaceae,Fagraea,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Fagraea salticola,Gentianaceae,Fagraea,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Fagraea woodiana,Gentianaceae,Fagraea,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Fagus crenata,Fagaceae,Fagus,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Fagus engleriana,Fagaceae,Fagus,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Fagus grandifolia,Fagaceae,Fagus,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Fagus hayatae,Fagaceae,Fagus,Tree,Vulnerable,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Fagus japonica,Fagaceae,Fagus,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Fagus orientalis,Fagaceae,Fagus,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Fagus sylvatica,Fagaceae,Fagus,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Faidherbia albida,Fabaceae,Faidherbia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Falcataria falcata,Fabaceae,Falcataria,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Falcataria moluccana,Fabaceae,Falcataria,,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Falcataria pullenii,Fabaceae,Falcataria,Tree,Endangered,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Falcatifolium papuanum,Podocarpaceae,Falcatifolium,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Faramea glandulosa,Rubiaceae,Faramea,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Faurea forficuliflora,Proteaceae,Faurea,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Faurea intermedia,Proteaceae,Faurea,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Faurea macnaughtonii,Proteaceae,Faurea,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Faurea rochetiana,Proteaceae,Faurea,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Faurea saligna,Proteaceae,Faurea,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Fegimanra afzelii,Anacardiaceae,Fegimanra,Tree,Near Threatened,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Ferdinandusa chlorantha,Rubiaceae,Ferdinandusa,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Fernandoa adenophylla,Bignoniaceae,Fernandoa,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Ferocactus cylindraceus,Cactaceae,Ferocactus,,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Ferocactus emoryi,Cactaceae,Ferocactus,,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Ferocactus hamatacanthus,Cactaceae,Ferocactus,,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Ferocactus viridescens,Cactaceae,Ferocactus,,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Ferocactus wislizeni,Cactaceae,Ferocactus,,Vulnerable,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
