scientific_name,family,genus,growth_habit,conservation_status,catalog_source
Acacia multisiliqua,Fabaceae,Acacia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acacia murrayana,Fabaceae,Acacia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acacia neriifolia,Fabaceae,Acacia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acacia omalophylla,Fabaceae,Acacia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acacia oraria,Fabaceae,Acacia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acacia oswaldii,Fabaceae,Acacia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acacia pachycarpa,Fabaceae,Acacia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acacia papyrocarpa,Fabaceae,Acacia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acacia paradoxa,Fabaceae,Acacia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acacia pellita,Fabaceae,Acacia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acacia pendula,Fabaceae,Acacia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acacia penninervis,Fabaceae,Acacia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acacia plectocarpa,Fabaceae,Acacia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acacia podalyriifolia,Fabaceae,Acacia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acacia polystachya,Fabaceae,Acacia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acacia pruinocarpa,Fabaceae,Acacia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
