scientific_name,common_name,family,genus,usda_hardiness_zone,rhs_hardiness_rating,height_mature_ft,native_status,habitat,taxonomic_note,conservation_status,tso_url,catalog_source
Abies recurvata,Ziguo Lengshan,Pinaceae,Abies,5,H7,131.2,China,"Mixed-coniferous mountain forests, 2300–3600 m asl, often in exposed, cold, and dry situations such as on cliffs and on winter-dry slopes, commonly associating with Juniperus spp., Picea asperata, P. likiangensis subsp. balfouriana, P. wilsonii and Betula albo-sinensis.","Abies recurvata belongs to a group of closely related firs affiliated with A. chensiensis . Their distinctiveness has been amply demonstrated (e.g. Shao et al . 2020 ; Rushforth 1984 ) but they continue to be subject to significant divergences in taxonomic treatment. Here we have elected to treat them in the simplest possible way, as distinct but closely related species: A. chensiensis , A. ernest",Vulnerable (VU),https://www.treesandshrubsonline.org/articles/abies/abies-recurvata/,Trees and Shrubs Online (IDS)
Abies religiosa,Sacred Fir,Pinaceae,Abies,6,H4,,Mexico,"Forests in montane-tropical to temperate climate zones, from 1200–4100 m asl, occasionally in pure stands but more often with Cupressus lindleyi, Pinus montezumae and P. teocote at lower elevations; P. veitchii, P. hartwegii and Pseudotsuga menziesii var. glauca higher up.",,Least concern (LC),https://www.treesandshrubsonline.org/articles/abies/abies-religiosa/,Trees and Shrubs Online (IDS)
Abies sachalinensis,Sakhalin Fir,Pinaceae,Abies,2-3,H7,,"Japan, Russia","Cool-temperate forests from sea level to c . 1700 m asl. The climate is continental or cold-maritime, with high precipitation including abundant snowfall. Common associates above c . 800 m include Picea jezoensis, P. glehnii, Larix gmelinii var. japonica , and Pinus pumila , while at lower elevations it can occur in pure stands or in mixed-broadleaf forest with Betula ermanii, Acer spp., Quercus m","Several major works (e.g. Farjon ( 1990 , 2017 ) and Debreczy & Rácz ( 2011 )) continue to recognise multiple infraspecific taxa in A. sachalinensis . Here only var. mayriana is recognised: var. gracilis is treated at species rank, and var. nemorensis is synonymised with the type. See discussion below.",Least concern (LC),https://www.treesandshrubsonline.org/articles/abies/abies-sachalinensis/,Trees and Shrubs Online (IDS)
Abies salouenensis,Salween Fir,Pinaceae,Abies,7b,H6,,"China, India","In humid river valleys and gorges on lower mountain slopes, 1600–3100 m asl, forming mixed forests with Pinus yunnanensis and Quercus gujavifolia . At higher elevations on Yulongxue Shan it is replaced by A. forrestii .","Abies salouenensis belongs to a group of closely related firs distributed in western China. These are discussed in the article ‘ Abies chensiensis and its relatives ’. In many western treatments (including New Trees ) A. salouenensis is treated as a subspecies of A. chensiensis , but in the Flora of China , which does not treat any infraspecifics under A. chensiensis , it is treated as a variety o",Least concern (LC),https://www.treesandshrubsonline.org/articles/abies/abies-salouenensis/,Trees and Shrubs Online (IDS)
Abies sibirica,,Pinaceae,Abies,"2 Seed of subsp. semenovii collected by John Silba in the Tian Shan in 1989 is the only introduction of this taxon that we can trace, but material seems to have been disseminated quite widely. For Keith Rushforth (pers. comm. 2007) in Devon it has proved hardier than subsp. sibirica , which has died out for him, subsp. semenovii by contrast having grown, slowly, to almost 2 m (in 15 years). At Howick two specimens planted in 1992 are about 2.5 m tall, and although not damaged by frost, have been reluctant to form good leaders (C. Howick, pers. comm. 2007). There is also a small tree at Wakehurst Place. Abies sibirica subsp. semenovii has longer leaves than the type. Photographed at Chychkyan, Kyrgyzstan, 2nd June 2016. Image Philippe de Spoelberch. "" data-alt=""Abies sibirica subsp. semenovii""> Abies sibirica subsp. semenovii has longer leaves than the type. Photographed at Chychkyan, Kyrgyzstan, 2nd June 2016. Image Philippe de Spoelberch. Abies sibirica subsp. semenovii at Chychkyan, Kyrgyzstan, 2nd June 2016. Image Philippe de Spoelberch. "" data-alt=""Abies sibirica subsp. semenovii""> Abies sibirica subsp. semenovii at Chychkyan, Kyrgyzstan, 2nd June 2016. Image Philippe de Spoelberch. Abies sibirica subsp. semenovii at Chychkyan, Kyrgyzstan. Image Philippe de Spoelberch. "" data-alt=""Abies sibirica subsp. semenovii""> Abies sibirica subsp. semenovii at Chychkyan, Kyrgyzstan. Image Philippe de Spoelberch. subsp. sibirica Common Names Siberian Fir Pichta Sibirskaya Xianbei Lengshan Xinjiang Lengshan Chadsura Sapin de Sibérie Tree to 40 m, to 1 m dbh. Bark smooth, greenish- or grey-brown with numerous resin blisters in young trees, breaking into thick stiff plates in older trees. Crown narrowly pyramidal or conical with tapering spires. Branchlets slender, firm, smooth or faintly ridged, undersides yellowish-grey or pale-brown, then grey with age, upper sides often whitish; short-pubescent at first, soon glabrous. Vegetative buds globose, 2–3 mm long, very resinous. Leaves spirally arranged, 1.3–3 cm × 1–1.5 mm, apex emarginate to acute. Pollen cones crowded on the underside of the shoot, 1.5 cm long, yellow with red microsporophylls. Seed cones subsessile, ovoid-cylindrical, apex obtuse, 5–9.5 × 2.5–3.5 cm, purple-blue when immature, maturing through blue-brown to cinnamon- or greenish- or yellowish-brown when ripe; seed scales broadly flabellate; bracts short and rounded, 0.8 cm long with a tiny cusp, entirely included at maturity. ( Farjon 2017 ; Debreczy & Rácz 2011 ; Grimshaw & Bayton 2009 ).","H7 USDA Hardiness Zone: 2 Seed of subsp. semenovii collected by John Silba in the Tian Shan in 1989 is the only introduction of this taxon that we can trace, but material seems to have been disseminated quite widely. For Keith Rushforth (pers. comm. 2007) in Devon it has proved hardier than subsp. sibirica , which has died out for him, subsp. semenovii by contrast having grown, slowly, to almost 2 m (in 15 years). At Howick two specimens planted in 1992 are about 2.5 m tall, and although not damaged by frost, have been reluctant to form good leaders (C. Howick, pers. comm. 2007). There is also a small tree at Wakehurst Place. Abies sibirica subsp. semenovii has longer leaves than the type. Photographed at Chychkyan, Kyrgyzstan, 2nd June 2016. Image Philippe de Spoelberch. "" data-alt=""Abies sibirica subsp. semenovii""> Abies sibirica subsp. semenovii has longer leaves than the type. Photographed at Chychkyan, Kyrgyzstan, 2nd June 2016. Image Philippe de Spoelberch. Abies sibirica subsp. semenovii at Chychkyan, Kyrgyzstan, 2nd June 2016. Image Philippe de Spoelberch. "" data-alt=""Abies sibirica subsp. semenovii""> Abies sibirica subsp. semenovii at Chychkyan, Kyrgyzstan, 2nd June 2016. Image Philippe de Spoelberch. Abies sibirica subsp. semenovii at Chychkyan, Kyrgyzstan. Image Philippe de Spoelberch. "" data-alt=""Abies sibirica subsp. semenovii""> Abies sibirica subsp. semenovii at Chychkyan, Kyrgyzstan. Image Philippe de Spoelberch. subsp. sibirica Common Names Siberian Fir Pichta Sibirskaya Xianbei Lengshan Xinjiang Lengshan Chadsura Sapin de Sibérie Tree to 40 m, to 1 m dbh. Bark smooth, greenish- or grey-brown with numerous resin blisters in young trees, breaking into thick stiff plates in older trees. Crown narrowly pyramidal or conical with tapering spires. Branchlets slender, firm, smooth or faintly ridged, undersides yellowish-grey or pale-brown, then grey with age, upper sides often whitish; short-pubescent at first, soon glabrous. Vegetative buds globose, 2–3 mm long, very resinous. Leaves spirally arranged, 1.3–3 cm × 1–1.5 mm, apex emarginate to acute. Pollen cones crowded on the underside of the shoot, 1.5 cm long, yellow with red microsporophylls. Seed cones subsessile, ovoid-cylindrical, apex obtuse, 5–9.5 × 2.5–3.5 cm, purple-blue when immature, maturing through blue-brown to cinnamon- or greenish- or yellowish-brown when ripe; seed scales broadly flabellate; bracts short and rounded, 0.8 cm long with a tiny cusp, entirely included at maturity. ( Farjon 2017 ; Debreczy & Rácz 2011 ; Grimshaw & Bayton 2009 ).",131.2,Kyrgyzstan,,,,https://www.treesandshrubsonline.org/articles/abies/abies-sibirica/,Trees and Shrubs Online (IDS)
Abies spectabilis,Webb Fir,Pinaceae,Abies,,H5,,"Afghanistan, China, India, Nepal, Pakistan","In mountains from 1600–4000 m asl, most commonly from c . 2600–3800 m asl on north or east facing slopes, sometimes in pure stands but usually associating with Picea smithiana, Pinus wallichiana , and Juniperus wallichiana . At lower elevations it often associates with broadleaves including Aesculus indica , and Acer, Rhododendron and Quercus spp. At higher elevations it gives way to such species ",,Near threatened (NT),https://www.treesandshrubsonline.org/articles/abies/abies-spectabilis/,Trees and Shrubs Online (IDS)
Abies squamata,Flaky Fir,Pinaceae,Abies,5-7,H7,131.2,China,"Sub-alpine coniferous forests at 3500–4700 m asl, in regions characterised by long, cold winters and short, cool summers, with much precipitation falling as snow. It occurs in pure stands and with A. fargesii, A. recurvata, Larix potaninii, Picea asperata, P. crassifolia, P. linzhiensis, and several Juniperus species. High altitude forms of Betula species are the most common broadleaf associates.",,Vulnerable (VU),https://www.treesandshrubsonline.org/articles/abies/abies-squamata/,Trees and Shrubs Online (IDS)
Abies veitchii,Veitch's Silver Fir,Pinaceae,Abies,,H7,,Japan,"An often dominant component of cool-temperate mixed-coniferous forest at elevations between (1000–)1400–2800 m asl, the climate is characterised by cool summers and cold winters, with year-round precipitation. Common associates include Abies mariesii, Picea jezoensis subsp . hondoensis, Larix kaempferi, Thuja standishii, Pinus parviflora, Betula ermanii and Sorbus commixta. At very high elevations",Rushforth (1987a) pointed out the smiliarities between Abies veitchii var. sikokiana and A. koreana and commented that treating both ‘as subspecies of Veitch Fir would be appropriate’ although no such combinations have yet been made. Krüssmann (1985) discussed Shikoku Fir as a forma under A. koreana . The Shikoku Fir is a relative newcomer to cultivation. It was first recognised as a distinct enti,Least concern (LC),https://www.treesandshrubsonline.org/articles/abies/abies-veitchii/,Trees and Shrubs Online (IDS)
Abies vejarii,Vejar Fir,Pinaceae,Abies,6,H6,131.2,Mexico,"Forests on steep mountain slopes from 2200–3300 m asl, characterised by warm summers and cool, wet winters. At its lower altitudinal limit it occurs in the oak-pine zone with species such as Pinus cembroides, P. estevezii, P. greggii and Pseudotsuga menziesii var. glauca . Higher up its associates include Pinus hartwegii and P. strobiformis .","Martínez published a variety, var. macrocarpa , in 1949, based on trees growing in the northern part of the range. He distinguished it based on larger seed cones (10–15 cm long cf. 6–12 cm) with partially exserted bracts, branchlets puberulent at first ( cf . glabrous), and (in some examples) more glaucous leaves ( Farjon 2017 ; Debreczy & Rácz 2011 ); but there is clearly some overlap in so-calle",Vulnerable (VU),https://www.treesandshrubsonline.org/articles/abies/abies-vejarii/,Trees and Shrubs Online (IDS)
Abies yuanbaoshanensis,Yuanbaoshan Fir,Pinaceae,Abies,6-8,H6,82.0,China,"Cool-temperate mountain forests at 1700–2050 m asl, with high humidity and abundant precipitation including much snow. The most common woody associates include the conifer Tsuga chinensis and members of the Fagaceae including Fagus engleriana . Cephalotaxus latifolia, Podocarpus wangii, and Taxus chinensis are scattered in the forest; the understorey includes a strong sub-tropical element.",,Critically endangered (CR),https://www.treesandshrubsonline.org/articles/abies/abies-yuanbaoshanensis/,Trees and Shrubs Online (IDS)
Abies ziyuanensis,Ziyuan Fir,Pinaceae,Abies,,,98.4,China,"Mixed forests, commonly with Fagus spp., at 1400–1800 m asl in mountains characterised by a cool, very wet climate.",,Critically endangered (CR),https://www.treesandshrubsonline.org/articles/abies/abies-ziyuanensis/,Trees and Shrubs Online (IDS)
Abies × arnoldiana,Cheng Fir,Pinaceae,Abies,5,H7,49.2,China,"Mountain forests, presumably in the transition zone between the parents.","Originally published as a species described from cultivated trees (raised from F 30663, the herbarium specimen of which fits A. salouenensis ) there now seems little doubt that this batch of seeds yielded hybrids with A. forrestii . The name should thus be written as A. × chengii . Several trees in collections now labelled A. × chengii were previously labelled A. chensiensis and A. fargesii , and ",Not evaluated (NE),https://www.treesandshrubsonline.org/articles/abies/abies-x-arnoldiana/,Trees and Shrubs Online (IDS)
Acacia baileyana,Cootamundra Wattle,Fabaceae,Acacia,,,2,Native of New South Wales; introduced about 1888.,,,,https://www.treesandshrubsonline.org/articles/acacia/acacia-baileyana/,Trees and Shrubs Online (IDS)
Acacia dealbata,Silver Wattle,Fabaceae,Acacia,"8–9. Conservation status Not evaluated. Illustration NT7. Described only in 2001, Acacia dealbata subsp. subalpina is of great interest to gardeners in temperate areas, as it represents the highest-altitude provenance of the species. For most practical horticultural purposes it is very similar to typical A. dealbata in physical appearance, although subsp. subalpina is supposed to be shorter and smaller in its parts, but the fact that its range is principally above 700 m in the mountains of southeastern Australia (Kodela & Tindale 2001) is highly significant in terms of its potential extra hardiness. Subsp. subalpina has become widely cultivated, and is freely available in commerce, but in the United Kingdom at least its supposed advantage has yet to be put to the test, and Hogan (2008) has found that other high-altitude forms from mainland Australia are hardier. Its supposedly more compact stature may also be an advantage in smaller gardens, although a specimen in the Oxford Botanic Garden had reached 6 m before it was removed in 2007 (S. Andrews, pers. comm. 2007). Acacia dealbata subsp. subalpina , assessed hardy in USDA Zones 8–9, in dramatic foliage combination with a purple Phormium at Cistus Nursery, Oregon. Image Phytophoto. "" data-alt=""Acacia dealbata subsp. subalpina""> Acacia dealbata subsp. subalpina , assessed hardy in USDA Zones 8–9, in dramatic foliage combination with a purple Phormium at Cistus Nursery, Oregon. Image Phytophoto. <div class=""uk-section uk-section-small uk-section-primary",,16.4,"AUSTRALIA: Australian Capital Territory, New South Wales, Victoria. Habitat Tall, open forest or woodland on mountain ridges, slopes and in gullies with streams. USDA Hardiness Zone 8–9. Conservation status Not evaluated. Illustration NT7. Described only in 2001, Acacia dealbata subsp. subalpina is of great interest to gardeners in temperate areas, as it represents the highest-altitude provenance ","Tall, open forest or woodland on mountain ridges, slopes and in gullies with streams. USDA Hardiness Zone 8–9. Conservation status Not evaluated. Illustration NT7. Described only in 2001, Acacia dealbata subsp. subalpina is of great interest to gardeners in temperate areas, as it represents the highest-altitude provenance of the species. For most practical horticultural purposes it is very similar",,"Not evaluated. Illustration NT7. Described only in 2001, Acacia dealbata subsp. subalpina is of great interest to gardeners in temperate areas, as it represents the highest-altitude provenance of the species. For most practical horticultural purposes it is very similar to typical A. dealbata in physical appearance, although subsp. subalpina is supposed to be shorter and smaller in its parts, but the fact that its range is principally above 700 m in the mountains of southeastern Australia (Kodela & Tindale 2001) is highly significant in terms of its potential extra hardiness. Subsp. subalpina has become widely cultivated, and is freely available in commerce, but in the United Kingdom at least its supposed advantage has yet to be put to the test, and Hogan (2008) has found that other high-altitude forms from mainland Australia are hardier. Its supposedly more compact stature may also be an advantage in smaller gardens, although a specimen in the Oxford Botanic Garden had reached 6 m before it was removed in 2007 (S. Andrews, pers. comm. 2007). Acacia dealbata subsp. subalpina , assessed hardy in USDA Zones 8–9, in dramatic foliage combination with a purple Phormium at Cistus Nursery, Oregon. Image Phytophoto. "" data-alt=""Acacia dealbata subsp. subalpina""> Acacia dealbata subsp. subalpina , assessed hardy in USDA Zones 8–9, in dramatic foliage combination with a purple Phormium at Cistus Nursery, Oregon. Image Phytophoto. <div class=""uk-section uk-section-small uk-section-primary",https://www.treesandshrubsonline.org/articles/acacia/acacia-dealbata/,Trees and Shrubs Online (IDS)
Acacia floribunda,,Fabaceae,Acacia,,,,,,,,https://www.treesandshrubsonline.org/articles/acacia/acacia-floribunda/,Trees and Shrubs Online (IDS)
Acacia genistifolia,,Fabaceae,Acacia,,,,"Native of Tasmania, Victoria, and New South Wales; introduced in 1818.",,,,https://www.treesandshrubsonline.org/articles/acacia/acacia-genistifolia/,Trees and Shrubs Online (IDS)
Acacia longifolia,Sydney Golden Wattle,Fabaceae,Acacia,,,30,"Native of the Australian mainland, and (if interpreted in a wide sense) of Tasmania; introduced in 1792 and ever since a popular cool greenhouse shrub.",,,,https://www.treesandshrubsonline.org/articles/acacia/acacia-longifolia/,Trees and Shrubs Online (IDS)
Acacia melanoxylon,Blackwood,Fabaceae,Acacia,,,120,Native of Tasmania and the southern parts of Australia; introduced from the former in 1808.,,,,https://www.treesandshrubsonline.org/articles/acacia/acacia-melanoxylon/,Trees and Shrubs Online (IDS)
Acacia mucronata,,Fabaceae,Acacia,,,,,,,,https://www.treesandshrubsonline.org/articles/acacia/acacia-mucronata/,Trees and Shrubs Online (IDS)
Acacia obliquinervia,Mountain Hickory Wattle,Fabaceae,Acacia,7-8,,,Australia,Montane forest and woodland between 500 and 1700m,,Not evaluated (NE),https://www.treesandshrubsonline.org/articles/acacia/acacia-obliquinervia/,Trees and Shrubs Online (IDS)
Acacia paradoxa,Kangaroo Thorn,Fabaceae,Acacia,,,,"Native of Australia where it is widespread, although absent from Tasmania; introduced in 1803.",,,,https://www.treesandshrubsonline.org/articles/acacia/acacia-paradoxa/,Trees and Shrubs Online (IDS)
Acacia pataczekii,Pataczek's Wattle,Fabaceae,Acacia,8,,19.7,Australia,Understorey tree in eucalypt forests at about 1400m,,Not evaluated (NE),https://www.treesandshrubsonline.org/articles/acacia/acacia-pataczekii/,Trees and Shrubs Online (IDS)
Acacia pravissima,Ovens Wattle,Fabaceae,Acacia,,,,"Native of Victoria and New South Wales. There is a good example of this acacia at Ilnacullin (Garinish Island), Co. Cork, about 24 ft high. At Malahide Castle, near Dublin, it proved hardy in the winters of 1961–3 and is now some 12 ft high on a garden wall. It is remarkable for",,,,https://www.treesandshrubsonline.org/articles/acacia/acacia-pravissima/,Trees and Shrubs Online (IDS)
Acacia pulchella,,Fabaceae,Acacia,,,,Native of W. Australia in the Swan River region; introduced about 1803.,,,,https://www.treesandshrubsonline.org/articles/acacia/acacia-pulchella/,Trees and Shrubs Online (IDS)
Acacia retinodes,,Fabaceae,Acacia,,,,"Native of Tasmania, Victoria, and S. Australia.",,,,https://www.treesandshrubsonline.org/articles/acacia/acacia-retinodes/,Trees and Shrubs Online (IDS)
Acacia riceana,Rice's Wattle,Fabaceae,Acacia,,,30,"Native of the southern part of Tasmania and described by Sir Joseph Hooker as by far the most beautiful acacia of that island, where it grows on the banks of streams and resembles weeping willow.",,,,https://www.treesandshrubsonline.org/articles/acacia/acacia-riceana/,Trees and Shrubs Online (IDS)
Acacia rubida,Red-stem Wattle,Fabaceae,Acacia,"9. Conservation status Not evaluated. Taxonomic note Acacia rubida is a variable species. Though usually a small tree, it reaches 13 m or more in some parts of Victoria. A dwarf variant (reaching only 1.5 m) with small phyllodes (4–5 cm long) and spreading hairs on its branchlets occurs in parts of New South Wales (Chapman et al. 2001a, 2001b).",,16.4,"AUSTRALIA: Australian Capital Territory, New South Wales, Queensland, Victoria. Habitat Typically near watercourses on a variety of soils including clay and sand, especially in upland areas. USDA Hardiness Zone 9. Conservation status Not evaluated. Taxonomic note Acacia rubida is a variable species. Though usually a small tree, it reaches 13 m or more in some parts of Victoria. A dwarf variant (re","Typically near watercourses on a variety of soils including clay and sand, especially in upland areas. USDA Hardiness Zone 9. Conservation status Not evaluated. Taxonomic note Acacia rubida is a variable species. Though usually a small tree, it reaches 13 m or more in some parts of Victoria. A dwarf variant (reaching only 1.5 m) with small phyllodes (4–5 cm long) and spreading hairs on its branchl","Acacia rubida is a variable species. Though usually a small tree, it reaches 13 m or more in some parts of Victoria. A dwarf variant (reaching only 1.5 m) with small phyllodes (4–5 cm long) and spreading hairs on its branchlets occurs in parts of New South Wales (Chapman et al. 2001a, 2001b).","Not evaluated. Taxonomic note Acacia rubida is a variable species. Though usually a small tree, it reaches 13 m or more in some parts of Victoria. A dwarf variant (reaching only 1.5 m) with small phyllodes (4–5 cm long) and spreading hairs on its branchlets occurs in parts of New South Wales (Chapman et al. 2001a, 2001b).",https://www.treesandshrubsonline.org/articles/acacia/acacia-rubida/,Trees and Shrubs Online (IDS)
Acacia sophorae,,Fabaceae,Acacia,,,,,,,,https://www.treesandshrubsonline.org/articles/acacia/acacia-sophorae/,Trees and Shrubs Online (IDS)
Acacia spectabilis,Glory Wattle,Fabaceae,Acacia,,,19.7,,,,,https://www.treesandshrubsonline.org/articles/acacia/acacia-spectabilis/,Trees and Shrubs Online (IDS)
Acacia ulicifolia,,Fabaceae,Acacia,,,,,,,,https://www.treesandshrubsonline.org/articles/acacia/acacia-ulicifolia/,Trees and Shrubs Online (IDS)
Acacia verticillata,,Fabaceae,Acacia,,,,Native of Australia (Victoria) and Tasmania; introduced by Sir Joseph Banks to Kew in 1780.,,,,https://www.treesandshrubsonline.org/articles/acacia/acacia-verticillata/,Trees and Shrubs Online (IDS)
Acanthoprasium frutescens,Shrubby Horehound,Lamiaceae,Acanthoprasium,8,H4,,"France, Italy",Rocky places in the SW Alps,,Not evaluated (NE),https://www.treesandshrubsonline.org/articles/acanthoprasium/acanthoprasium-frutescens/,Trees and Shrubs Online (IDS)
Acanthus sennii,,Acanthaceae,Acanthus,9,H3,,Ethiopia,"Dry forest, secondary scrub, grassland.",,Not evaluated (NE),https://www.treesandshrubsonline.org/articles/acanthus/acanthus-sennii/,Trees and Shrubs Online (IDS)
Acer ' Mozart',,Sapindaceae,Acer,6-7,H5,,,,,,https://www.treesandshrubsonline.org/articles/acer/acer-mozart/,Trees and Shrubs Online (IDS)
Acer 'Candy Stripe',,Sapindaceae,Acer,,H5,13.1,,,,Not evaluated (NE),https://www.treesandshrubsonline.org/articles/acer/acer-candy-stripe/,Trees and Shrubs Online (IDS)
Acer 'Cascade',,Sapindaceae,Acer,,H5,,,,,,https://www.treesandshrubsonline.org/articles/acer/acer-cascade/,Trees and Shrubs Online (IDS)
Acer 'Esk Flamingo',,Sapindaceae,Acer,,H5,19.7,,,,,https://www.treesandshrubsonline.org/articles/acer/acer-esk-flamingo/,Trees and Shrubs Online (IDS)
Acer 'Gimborn',,Sapindaceae,Acer,6-7,H6,,,,,,https://www.treesandshrubsonline.org/articles/acer/acer-gimborn/,Trees and Shrubs Online (IDS)
Acer 'Gold Coin',,Sapindaceae,Acer,6,H6,,,,"The treatment of this taxon as a cultivar of Acer longipes is likely a hangover from the treatment of van Gelderen et al. (1994) , who included A. amplum as a subspecies of A. longipes.",Not evaluated (NE),https://www.treesandshrubsonline.org/articles/acer/acer-gold-coin/,Trees and Shrubs Online (IDS)
Acer 'Mindavi',,Sapindaceae,Acer,,H5,,,,,Not evaluated (NE),https://www.treesandshrubsonline.org/articles/acer/acer-mindavi/,Trees and Shrubs Online (IDS)
Acer 'Minorient',,Sapindaceae,Acer,,H5,,introduced to commerce in 2010 ( Milan Havlis 2020 ).,,,Not evaluated (NE),https://www.treesandshrubsonline.org/articles/acer/acer-minorient/,Trees and Shrubs Online (IDS)
Acer 'Serpentine',,Sapindaceae,Acer,,H5,,"Introduced to cultivation by W. J. Hooftman in 1976 ( van Gelderen & van Gelderen 1999 ), it is described as a densely branched plant, though becomes leggy in shade.",,,,https://www.treesandshrubsonline.org/articles/acer/acer-serpentine/,Trees and Shrubs Online (IDS)
Acer 'Silver Cardinal',,Sapindaceae,Acer,7-8,H5,,,,,,https://www.treesandshrubsonline.org/articles/acer/acer-silver-cardinal/,Trees and Shrubs Online (IDS)
Acer 'White Tigress',,Sapindaceae,Acer,,H5,26.2,"introduced to the trade in 1995 by the Roslyn Nusery of Dix Hills, New York State ( Jacobson 1996 ).",,,,https://www.treesandshrubsonline.org/articles/acer/acer-white-tigress/,Trees and Shrubs Online (IDS)
Acer acuminatum,Pointed-leaf Maple,Sapindaceae,Acer,5,H6,39.4,"China, India, Nepal, Pakistan","Mixed forests between 2700 and 3100 m asl. Associated species include Acer caesium , Aesculus indica , Abies pindrow, Juglans regia and Prunus cornuta .",,Least concern (LC),https://www.treesandshrubsonline.org/articles/acer/acer-acuminatum/,Trees and Shrubs Online (IDS)
Acer albopurpurascens,,Sapindaceae,Acer,6-7,H4,49.2,Taiwan,"Moist forests and valleys, between 400 and 2000 m asl. Associated species include Alnus formosana , Idesia polycarpa and Quercus spp.","Treated as a synonym of Acer oblongum by van Gelderen, de Jong & Oterdoom (1994) , though Xu et al. (2008 ) consider it distinct and their treatment is followed here.",Least concern (LC),https://www.treesandshrubsonline.org/articles/acer/acer-albopurpurascens/,Trees and Shrubs Online (IDS)
Acer amamiense,Amami Maple,Sapindaceae,Acer,9,H4,19.7,Japan,"Subtropical to warm temperate woodland with a strong maritime influence, occuring between 4 and 40 m asl. Woody associates include Cycas revoluta , Machilus thunbergii, Lagerstroemia subcostata, Fraxinus insularis and Litsea japonica .",,Critically endangered (CR),https://www.treesandshrubsonline.org/articles/acer/acer-amamiense/,Trees and Shrubs Online (IDS)
Acer amplum,,Sapindaceae,Acer,6-7,H5,82.0,China,"Warm temperate and temperate forests and valleys between 1,000 and 2,000 m asl.","Along with its lower taxa, this species was treated as part of a broad interpretation of Acer longipes by van Gelderen et al. (1994) , though as a separate species by Xu et al. (2008) , whose treatment is followed here.",Least concern (LC),https://www.treesandshrubsonline.org/articles/acer/acer-amplum/,Trees and Shrubs Online (IDS)
Acer argutum,Sharp-toothed Maple,Sapindaceae,Acer,4-8,H5,32.8,Japan,"Cool, temperate to subalpine forests, usually in moist areas and along streams, between 800 and 1900 m asl.",,Least concern (LC),https://www.treesandshrubsonline.org/articles/acer/acer-argutum/,Trees and Shrubs Online (IDS)
Acer barbinerve,Bearded Maple,Sapindaceae,Acer,4,H7,39.4,"China, North Korea, South Korea, Russia","Understorey of mixed and coniferous woodlands, between 500 and 2300 m asl. Associated species include other maples Acer pictum , A. pseudosieboldianum , A. tegmentosum and A. ukurunduense, as well as the conifers Larix gmelinii and Picea jezoensis .",,Least concern (LC),https://www.treesandshrubsonline.org/articles/acer/acer-barbinerve/,Trees and Shrubs Online (IDS)
Acer binzayedii,,Sapindaceae,Acer,,,,,,,,https://www.treesandshrubsonline.org/articles/acer/acer-binzayedii/,Trees and Shrubs Online (IDS)
Acer buergerianum,Trident Maple,Sapindaceae,Acer,5,H6,32.8,"China, Taiwan","Mixed forests, from sea level 1500 m asl.","Aside from the nominate variety, five others are treated in the Flora of China ( Xu et al. 2008 ): formosanum , horizontale , jiujiangense , kaiscianense and yentangense . However, the placement of var. formosanum has been reconsidered by Tzeng & Huang (2009) , who concluded that this taxon is better considered part of A. albopurpurascens (q.v.). Var. ningpoense , included by van Gelderen, de Jong",Least concern (LC),https://www.treesandshrubsonline.org/articles/acer/acer-buergerianum/,Trees and Shrubs Online (IDS)
Acer caesium,Blue Maple,Sapindaceae,Acer,6-7,H6,82.0,"China, India, Nepal, Pakistan",Temperate and alpine forests between 2000 and 3700 m asl.,"The distinction between the typical subspecies and subsp. giraldii is not always distinct and treatment at the rank of subspecies seems more appropriate rather than at species rank, as preferred by some authors (e.g. Rushforth 1999 and as formerly treated in Bean (1976 )). However, Xu et al. (2008) saw no sufficient distinction separating the two at all and treated both taxa within a broader inter",Least concern (LC),https://www.treesandshrubsonline.org/articles/acer/acer-caesium/,Trees and Shrubs Online (IDS)
Acer calcaratum,,Sapindaceae,Acer,9-10,H2,23.0,"Myanmar, China, Thailand, Vietnam",Moist forests along water courses between 1200 and 2400 m asl.,,Vulnerable (VU),https://www.treesandshrubsonline.org/articles/acer/acer-calcaratum/,Trees and Shrubs Online (IDS)
Acer campbellii,Campbell's Maple,Sapindaceae,Acer,7-8,H4,,"Bhutan, Myanmar, China, India, Nepal, Vietnam",Mixed forests between 1800 and 3700 m asl.,"The taxonomy of Acer campbellii and its relatives in van Gelderen et al. ’s (1994) Series Sinensia has been much confused and a systematic study is required to satisfactorily resolve the group. While van Gelderen et al. (1994) treated A. campbellii as a broad species comprising five subspecies, the Flora of China account ( Xu et al. 2008 ) treated these as distinct species (reducing subsp. chekian",Least concern (LC),https://www.treesandshrubsonline.org/articles/acer/acer-campbellii/,Trees and Shrubs Online (IDS)
Acer campestre,Field Maple,Sapindaceae,Acer,3-5,H6,16.4,"Albania, Algeria, Andorra, Armenia, Austria, Azerbaijan, Belarus, Belgium, Bosnia and Herzegovina, Bulgaria, Croatia, Czechia, Denmark, France, Georgia, Germany, Greece, Hungary, Iran, Ireland, Italy, Liechtenstein, Luxembourg, North Macedonia, Moldova, Monaco, Montenegro, Netherlands, Poland, Portugal, Romania, Russia, San Marino, Serbia, Slovakia, Slovenia, Spain, Sweden, Switzerland, Tunisia, T","Mesophilic mixed and Quercus woodlands, 0–1600 m asl.",,Least concern (LC),https://www.treesandshrubsonline.org/articles/acer/acer-campestre/,Trees and Shrubs Online (IDS)
