scientific_name,common_name,family,genus,usda_hardiness_zone,rhs_hardiness_rating,height_mature_ft,native_status,habitat,taxonomic_note,conservation_status,tso_url,catalog_source
Acer saccharinum,Creek Maple,Sapindaceae,Acer,3-9,H7,32.8,"Canada, United States","Lowlands, in poorly to well drained soils on floodplains and along watercourses. It typically grows in association with several other species including Acer rubrum (with which it hybridises to form A. × freemanii ), Betula nigra, Tilia spp. and Ulmus spp.",,Least concern (LC),https://www.treesandshrubsonline.org/articles/acer/acer-saccharinum/,Trees and Shrubs Online (IDS)
Acer saccharum,Sugar Maple,Sapindaceae,Acer,3,H7,98.4,"Canada, United States","Lowlands on mixed soils (but not swamps), thriving on deep, rich, well-drained soils. A key component of eastern deciduous forests, associated species include Betula alleghaniensis , Fagus grandifolia , Prunus serotina , Quercus alba, Quercus rubra and Tsuga canadensis.","The sugar maples ( Acer Section Acer Series Saccharodendron ) are a group defined largely on the characters of the flowers, which have connate sepals and are without petals ( van Gelderen et al. 1994 ). Their taxonomy has long been disputed, and treatments are inconsistent between major works. In New Trees , Grimshaw & Bayton (2009) followed the late Peter Gregory’s advice to treat Acer saccharum ",Least concern (LC),https://www.treesandshrubsonline.org/articles/acer/acer-saccharum/,Trees and Shrubs Online (IDS)
Acer sempervirens,Cretan Maple,Sapindaceae,Acer,7-8,H5,32.8,"Greece, Türkiye",Maquis and forest edges in dry areas above 1500 m asl.,,Least concern (LC),https://www.treesandshrubsonline.org/articles/acer/acer-sempervirens/,Trees and Shrubs Online (IDS)
Acer serrulatum,,Sapindaceae,Acer,7-8,H5,65.6,Taiwan,Temperate forests between 1000 and 2000 m asl.,"van Gelderen et al. (1994) treat this as Acer oliverianum subsp. formosanum , though Xu et al. (2008) opt for treatment at specific rank, stating that it differs from A. oliverianum by having more flowers per inflorescence and different flavonoid patterns. Furthermore, Li (1952) states that A. serrulatum has crenate to serrate leaf margins (serrulate in A. oliverianum , which is somewhat ironic gi",Least concern (LC),https://www.treesandshrubsonline.org/articles/acer/acer-serrulatum/,Trees and Shrubs Online (IDS)
Acer shenkanense,,Sapindaceae,Acer,7-8,H5,32.8,China,Mixed forests along streams and valleys between 700 and 3000 m asl.,"This species was treated as Acer cappadocicum subsp. sinicum var. tricaudatum by van Gelderen et al. (1994) (although the epithet shenkanense is not referenced in that work), but at specific rank as A. shenkanense by Xu et al. (2008) , whose treatment is followed here.",Least concern (LC),https://www.treesandshrubsonline.org/articles/acer/acer-shenkanense/,Trees and Shrubs Online (IDS)
Acer shirasawanum,,Sapindaceae,Acer,,,,"Native of Japan. Although not described until 1911, there can be little doubt that this maple was cultivated by Messrs Veitch in their Coombe Wood nursery as early as 1888 as A. japonicum microphyllum. Certainly the plants cultivated in the USA under that name today are A. shiras",,,,https://www.treesandshrubsonline.org/articles/acer/acer-shirasawanum/,Trees and Shrubs Online (IDS)
Acer sieboldianum,Siebold's Maple,Sapindaceae,Acer,"4–5. Conservation status Not evaluated. Illustration NT73, NT108. Cross-reference B206, K105.",,,"JAPAN: Honshu, Shikoku, Kyushu. Habitat Montane forest in southern Japan; in northern Japan, between 0 and 900 m asl. USDA Hardiness Zone 4–5. Conservation status Not evaluated. Illustration NT73, NT108. Cross-reference B206, K105.","Montane forest in southern Japan; in northern Japan, between 0 and 900 m asl. USDA Hardiness Zone 4–5. Conservation status Not evaluated. Illustration NT73, NT108. Cross-reference B206, K105.",,"Not evaluated. Illustration NT73, NT108. Cross-reference B206, K105.",https://www.treesandshrubsonline.org/articles/acer/acer-sieboldianum/,Trees and Shrubs Online (IDS)
Acer sikkimense,Sikkim Maple,Sapindaceae,Acer,8-9,H3,39.4,"Bhutan, Myanmar, China, India, Nepal, Vietnam",Mixed forest between 1700 and 3000 m asl. Also grows as an epiphyte.,"Although reduced to synonymy by the Flora of China ( Xu et al . 2008 ) plants grown as var. serrulatum in gardens appear to have greater hardiness than the type. It is on account of this useful horticultural trait, and its serrulate margins, that we treat these plants as a distinct entity. Of the several collections made of Acer sikkimense var. serrulatum , the vast majority have been made from th",Not evaluated (NE),https://www.treesandshrubsonline.org/articles/acer/acer-sikkimense/,Trees and Shrubs Online (IDS)
Acer sinense,,Sapindaceae,Acer,7-8,H4,,China,Forests and valleys between 500 and 2500 m asl.,"Acer sinense was treated as a subspecies of Acer campbellii by van Gelderen et al. (1994) , who opted to treat is as such on account of there being so little material available to specify practical field characters by which to separate it from that species. However, A. sinense is treated at specific rank by Xu et al. (2008) , whose treatment is followed here. Its leaf margins are remotely serrate,",Least concern (LC),https://www.treesandshrubsonline.org/articles/acer/acer-sinense/,Trees and Shrubs Online (IDS)
Acer sinopurpurascens,Chinese Purple Maple,Sapindaceae,Acer,5-6,H5,38.4,China,Mixed forest between 700 and 1000 m asl.,,Least concern (LC),https://www.treesandshrubsonline.org/articles/acer/acer-sinopurpurascens/,Trees and Shrubs Online (IDS)
