scientific_name,common_name,growth_habit,leaf_retention,usda_hardiness_zone,catalog_source,catalog_source_url,mda_hardiness_zone,mda_categories,mda_cultivar_notes
Syringa × hyacinthiflora,Lilac,Shrub,,2,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,2,Shrubs,"Hyacinth Lilac - 'Asessippi', 'Mount Baker', 'Pocahontas'"
Syringa × meyeri,Lilac,Shrub,,3,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,3,Shrubs,Tinkerbelle® aka 'Bailbelle' Lilac Tree Form
Syringa × prestoniae,Lilac,Shrub,,2,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,2,Shrubs,"'Donald Wyman', 'James Macfarlane', 'Jeftini' First Editions® Pinktini"
Tamarix ramosissima,Salt Cedar,Shrub,,2,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,2,Shrubs,Prohibited Noxious Weed 2023
Taxodium distichum,Baldcypress,Tree,Evergreen,5,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,5,Evergreens,"Lindsey's Skyward™ aka 'Skyward' PP22,812, Shawnee Brave® aka 'Mickelson'"
Taxus cuspidata,Yew,Shrub,,4,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,4,Shrubs,"Emeral Spreader 'Monloo', Upright aka 'Capitata' Yew"
Taxus media,Yew,Shrub,,4-5,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,4-5,Shrubs,"'Beanpole', 'Bonnie Green Mound', 'Densiformis Imp', 'Flushing', 'Legislator', 'Legzam', 'New Hicks', 'Pilaris', 'Representative', 'Repzam', 'Senator', 'Sentinalis', 'Senzam', 'Sunburst', 'Thomsen', 'Vermeulen'; 'Brownii'; 'Densiformis' Dense Spreading Yew; Meyeri', 'Pyramidalis', 'Citation', 'Dark Green', 'Taunton'"
Thuja koraiensis,Arborvitae,Shrub,,5,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,5,Shrubs,'Spring Grove'
Thuja occidentalis,Arborvitae,Shrub,,3-5,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,3-5,Shrubs,"Eastern White Cedar 'Congabe', 'Hetz Midget', 'Holmstrup', 'Nigra', 'Pygmy Globe', 'Pyramidalis', 'Bailjohn', 'Technito'® Globe, 'Techny', 'Techny Globe', 'Woodwardii', 'Degroot's Spire', 'Brandon', 'Anna's Magic Ball' aka 'Anna Van Vloten', North Pole® aka 'Art Boe' , 'Danica'; Emerald Squeeze 'Lilsheckthu' PPTBS, Sunkist Arborvitae, 'RutThu5' First Editions® Tall Guy™, 'RutThu4' First Editions® Planet Earth™, 'RutThu3' First Editions® Lemon Burst™, Pancake™ aka 'Concesarini', Mr. Bowling Ball® aka 'Bobaram'; Fire Chief 'Congabe' PP 19,009, 'Janed Gold', 'Smaragd' aka 'Emerald Green',; Little Giant' Arborvitae, 'Sky Bound', species White Cedar"
Thuja plicata,Arborvitae,Shrub,,5,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,5,Shrubs,"Canadian Gold', 'Virescens', 'Whipcord', 'Zebrina Extra Gold', 'Golden Spire', Sugar and Spice 'De Rakt' PP 19,926, 'Grovepli' Spring Grove Arborvitae"
Tilia americana,Linded or Basswood,Tree,,3,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,3,Deciduous (non-fruit),"American Linden - American Sentry® Linden aka 'McKSentry', 'Boulevard', Frontyard® Linden aka 'Bailyard', 'Redmond'"
Tilia cordata,Linded or Basswood,Tree,,4,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,4,Deciduous (non-fruit),"Littleleaf Linden - 'Corzam', 'Corinthinian', 'Baileyi' Shamrock®, 'Greenspire'"
Tilia tomentosa,Linded or Basswood,Tree,,5,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,5,Deciduous (non-fruit),"Silver Lining™, Sterling Silver'"
Tilia × flavescens,Linded or Basswood,Tree,,4,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,4,Deciduous (non-fruit),Glenleven Linden
Tilia × mongolica,Linded or Basswood,Tree,,2,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,2,Deciduous (non-fruit),Harvest Gold Linden
Tsuga canadensis,Hemlock,Tree,Evergreen,3,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,3,Evergreens,Canadian Hemlock
Ulmus americana,Elm,Tree,,3-4,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,3-4,Deciduous (non-fruit),"American Elm - 'Lewis and Clark', 'Prairie Expedition', 'St Croix'; American Elm, 'Princeton', 'Valley Forge', 'New Harmony'"
Ulmus carpinifolia,Elm,Tree,,4-5,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,4-5,Deciduous (non-fruit),'Frontier'; 'New Horizon'
Ulmus davidiana,Elm,Tree,,3,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,3,Deciduous (non-fruit),'Burgundy Glow' - Northern Empress® Elm
Ulmus glabra,Elm,Tree,,5,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,5,Deciduous (non-fruit),"Camptown', 'Horizontalis', 'Pendula', 'Camperdownii'"
Ulmus japonica,Elm,Tree,,3,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,3,Deciduous (non-fruit),'Discovery'
Ulmus parvifolia,Elm,Tree,,5,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,5,Deciduous (non-fruit),"'Allee', 'Aross/Central Park', 'Bosque', 'Burgundy', 'Central Park Splendor', 'Golden Rey', 'Hokkaido', 'King's Choice', 'Prince Richard', 'Seiju', 'Yatsubusa'"
Vaccinium corymbosum,Blueberry,Shrub,,4-5,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,4-5,Fruit,"'Northland'; Aurora', 'Collins', 'Darrow', 'Legacy', 'Nui', 'Berkely', 'Draper', 'Earliblue', 'Liberty'; Jelly Bean, 'Reka'"
Vaccinium macrocarpon,Blueberry,Shrub,,3,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,3,Fruit,Cranberry
Vaccinium ovatum,Blueberry,Shrub,,6,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,6,Fruit,"'Fall Creek', 'Thunderbird'"
Vaccinium virgatum,Blueberry,Shrub,,8,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,8,Fruit,Rabbit Eye Blueberry
Vaccinum darrowii,Blueberry,Shrub,,8,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,8,Fruit,
Vibrunum lantana,Viburnum,Shrub,,3,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,3,Shrubs,Mohican Viburnum
Viburnum carlcephalum,Viburnum,Shrub,,5,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,5,Shrubs,
Viburnum carlesii,Viburnum,Shrub,,5,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,5,Shrubs,"Korean Spice Bush, 'Aurora', 'Compactum', 'Diana'"
Viburnum cassinoides,Viburnum,Shrub,,3,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,3,Shrubs,Witherod Viburnum
Viburnum dentatum,Viburnum,Shrub,,3-4,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,3-4,Shrubs,"All That Glitters®, Chicago Luster aka 'Synnestvedt', Autumn Jazz® aka 'Ralph Senior' Arrowwood Viburnum, All That Glows®; Arrowood Viburnum, Blue Muffin® aka 'Christom' Arrowood Viburnum"
Viburnum dilatatum,Viburnum,Shrub,,5,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,5,Shrubs,"'Asian Beauty', 'Cardinal Candy', 'Catskill', 'Erie', 'Henneke', 'Michael Dodge', 'Mt. Airy', 'Oneida', 'Vernon Morris'"
